Chromosome 5'	Position 5'	Chromosome 3'	Position 3'	Gene 5'	Gene 3'	Cell line
7	131194995	19	18684103	PODXL	UBA52	KURAMOCHI
14	50253436	14	50760964	NEMF	L2HGDH	KURAMOCHI
12	120903430	9	7015853	SRSF9	KDM4C	KYSE-510
9	125033354	9	111674774	MRRF	IKBKAP	KYSE-510
9	111678484	9	125042722	IKBKAP	MRRF	KYSE-510
6	105297017	10	103908385	HACE1	PPRC1	KYSE-510
7	42063067	11	73516072	GLI3	MRPL48	KYSE-510
19	42759130	12	132635526	ERF	NOC4L	KYSE-510
15	65799581	15	65844014	DPP8	PTPLAD1	KYSE-510
9	99179895	9	99296824	ZNF367	CDC14B	KYSE-450
16	46714583	16	46766580	VPS35	MYLK3	KYSE-450
19	618488	19	726138	POLRMT	PALM	KYSE-450
1	151196755	1	151138947	PIP5K1A	SCNM1	KYSE-450
10	33542956	10	33212668	NRP1	ITGB1	KYSE-450
5	16794755	5	16572211	MYO10	FAM134B	KYSE-450
16	16110478	16	28963453	ABCC1	NFATC2IP	KYSE-450
12	971436	12	1553728	WNK1	ERC1	KYSE-30
1	165797169	1	169679658	UCK2	SELL	KYSE-30
2	27995559	2	27905115	MRPL33	SLC4A1AP	KYSE-30
1	213061936	1	227268718	FLVCR1	CDC42BPA	KYSE-30
19	58981211	15	73468744	ZNF324	NEO1	KYSE-270
19	49994804	19	49910143	RPL13A	CCDC155	KYSE-270
15	75653387	15	75687204	MAN2C1	SIN3A	KYSE-270
16	74640555	16	74774013	GLG1	FA2H	KYSE-270
1	78414840	1	185274775	FUBP1	IVNS1ABP	KYSE-270
20	33706401	1	225492610	EDEM2	DNAH14	KYSE-270
7	157178305	7	157023774	DNAJB6	UBE3C	KYSE-270
10	25010766	10	28151551	ARHGAP21	ARMC4	KYSE-270
12	12879030	12	12788711	APOLD1	CREBL2	KYSE-270
14	91444650	20	56191524	RPS6KA5	ZBP1	KYSE-180
1	233092189	2	242524140	NTPCR	THAP4	KYSE-180
8	48880045	8	48869991	MCM4	PRKDC	KYSE-180
14	102549371	11	129740156	HSP90AA1	NFRKB	KYSE-180
14	66200099	5	138221901	FUT8	CTNNA1	KYSE-180
7	101006471	19	7990443	EMID2	CTXN1	KYSE-180
1	182853948	22	41536144	DHX9	EP300	KYSE-180
17	1003877	17	729318	ABR	NXN	KYSE-180
14	45583817	7	116528181	PRPF39	CAPZA2	KYSE-150
15	85620018	7	127326667	PDE8A	SND1	KYSE-150
14	105886400	14	105851216	MTA1	PACS2	KYSE-150
17	45727810	17	45677042	KPNB1	NPEPPS	KYSE-150
14	102449946	11	69486587	DYNC1H1	ORAOV1	KYSE-150
11	117023244	11	113725057	PAFAH1B2	USP28	KYSE-70
16	69660431	16	69921942	NFAT5	WWP2	KYSE-70
6	17831332	6	18149402	KIF13A	TPMT	KYSE-70
7	26237242	7	26245988	HNRNPA2B1	CBX3	KYSE-70
20	60639507	3	108070635	TAF4	HHLA2	KYSE-520
12	120636357	7	150754062	RPLP0	CDK5	KYSE-520
17	1461823	17	1496573	PITPNA	SLC43A2	KYSE-520
7	23226765	9	131453449	NUPL2	SET	KYSE-520
17	56590213	17	56603674	MTMR4	SEPT4	KYSE-520
6	122720975	6	122779826	HSF2	SERINC1	KYSE-520
1	95007093	16	89611056	F3	SPG7	KYSE-520
7	101671425	16	58437002	CUX1	GINS3	KYSE-520
20	47707559	20	47639588	CSE1L	ARFGEF2	KYSE-520
22	24456604	7	54614640	CABIN1	VSTM2A	KYSE-520
1	243736228	1	243299533	AKT3	CEP170	KYSE-520
2	29117789	2	27527827	WDR43	TRIM54	KYSE-140
5	56226491	5	54429356	MIER3	CDC20B	KYSE-140
16	2133817	16	2041975	TSC2	SYNGR3	NCI-H2795
13	99738477	13	99171727	DOCK9	STK24	NCI-H2795
1	28536483	17	37883068	DNAJC8	ERBB2	NCI-H2795
17	48824063	6	18258636	LUC7L3	DEK	NCI-H2596
11	65346907	11	72613683	EHBP1L1	FCHSD2	NCI-H2596
2	36669878	2	36818154	CRIM1	FEZ2	NCI-H2596
17	38487648	17	73489572	RARA	KIAA0195	UACC-893
19	13136366	19	13002930	NFIX	GCDH	UACC-893
22	36708094	22	36863964	MYH9	TXN2	UACC-893
2	160968591	2	161143595	ITGB6	RBMS1	UACC-893
15	68571003	2	42671719	FEM1B	KCNG3	UACC-893
17	37499433	17	37665958	FBXL20	CDK12	UACC-893
17	18684618	17	21206495	FAM18B1	MAP2K3	UACC-893
17	37872192	1	11735788	ERBB2	MAD2L2	UACC-893
2	88913242	2	37520414	EIF2AK3	PRKD3	UACC-893
11	67864486	17	38318006	CHKA	CASC3	UACC-893
10	61665880	10	61802517	CCDC6	ANK3	UACC-893
17	79009108	17	65338379	BAIAP2	PSMD12	UACC-893
5	14871461	5	31495479	ANKH	DROSHA	UACC-893
11	118353210	9	20365742	MLL	MLLT3	THP-1
5	142779221	5	150073802	NR3C1	RBM22	SK-MEL-31
7	101840585	7	100491873	CUX1	ACHE	SK-MEL-31
17	953290	17	681984	ABR	GLOD4	SK-MEL-31
17	30677345	1	1480382	ZNF207	SSU72	SK-MEL-3
16	88555561	16	87874761	ZFPM1	SLC7A5	SK-MEL-3
7	2671912	7	1855864	TTYH3	MAD1L1	SK-MEL-3
7	2671912	7	1049779	TTYH3	C7orf50	SK-MEL-3
10	73581633	19	50357909	PSAP	PTOV1	SK-MEL-3
12	56359720	3	47919013	PMEL	MAP4	SK-MEL-3
12	56359720	12	133331719	PMEL	ANKLE2	SK-MEL-3
7	1937836	7	2686487	MAD1L1	TTYH3	SK-MEL-3
9	139757358	9	139717977	EDF1	C9orf86	SK-MEL-3
7	1166893	7	2686487	C7orf50	TTYH3	SK-MEL-3
7	1166893	7	1855864	C7orf50	MAD1L1	SK-MEL-3
16	88052273	16	87885455	BANP	SLC7A5	SK-MEL-3
21	36231771	8	93029591	RUNX1	RUNX1T1	Kasumi-1
8	37623873	8	38173560	PROSC	WHSC1L1	Kasumi-1
17	56357966	15	69747767	MPO	RPLP1	Kasumi-1
7	127361454	12	53344112	SND1	KRT18	JL-1
3	45781136	3	68466430	SACM1L	FAM19A1	JL-1
4	103681875	4	103731012	MANBA	UBE2D3	JL-1
2	232143171	2	232010954	ARMC9	PSMD1	JL-1
20	25282855	20	25274794	ABHD12	PYGB	JL-1
1	109940209	1	118584665	SORT1	SPAG17	DEOC-1
18	60985315	18	61078811	BCL2	VPS4B	DEOC-1
11	88924586	3	57893611	TYR	SLMAP	COLO 792
11	88924586	11	85742653	TYR	PICALM	COLO 792
12	123868755	12	123751829	SETD8	CDK2AP1	COLO 792
15	77240893	6	36651874	RCN2	CDKN1A	COLO 792
11	36120011	11	35236399	LDLRAD3	CD44	COLO 792
2	61697785	2	62112207	USP34	CCT4	A-498
16	88851309	16	88876964	PIEZO1	APRT	A-498
9	103009069	9	101894791	INVS	TGFBR1	A-498
5	54683930	1	185274775	SKIV2L2	IVNS1ABP	SW 900
20	20656880	22	33733787	RALGAPA2	LARGE	SW 900
19	4932968	19	4037372	UHRF1	PIAS4	NCI-H510A
17	53024673	1	28220908	TOM1L1	RPA2	NCI-H510A
14	91975850	16	50128616	SMEK1	HEATR3	NCI-H510A
2	232576693	12	6879323	PTMA	PTMS	NCI-H510A
1	40218724	1	40367115	PPIE	MYCL1	NCI-H510A
17	46134864	17	46214699	NFE2L1	SKAP1	NCI-H510A
17	29497015	3	184289106	NF1	EPHB3	NCI-H510A
1	245022577	17	1248793	HNRNPU	YWHAE	NCI-H510A
4	111119403	4	111409697	ELOVL6	ENPEP	NCI-H510A
16	50788335	4	38698703	CYLD	KLF3	NCI-H510A
3	15643401	3	14905635	BTD	FGD5	NCI-H510A
20	49434819	20	49177900	BCAS4	PTPN1	NCI-H510A
14	35240717	14	36946303	BAZ1A	SFTA3	NCI-H510A
18	662320	5	34006004	TYMS	AMACR	NCI-H2198
14	35782265	14	35735933	PSMA6	KIAA0391	NCI-H2198
7	44836392	7	44713386	PPIA	OGDH	NCI-H2198
17	27248706	17	27409456	PHF12	MYO18A	NCI-H2198
2	74438993	2	10059727	MTHFD2	TAF1B	NCI-H2198
5	140070440	5	138979957	HARS	UBE2D2	NCI-H2198
8	38314874	5	34006004	FGFR1	AMACR	NCI-H2198
3	150286079	3	150873948	EIF2A	MED12L	NCI-H2198
6	32088548	20	34301018	ATF6B	RBM39	NCI-H2198
3	42167106	3	93722503	TRAK1	ARL13B	NCI-H2172
9	131456321	1	150195566	SET	ANP32E	NCI-H2172
9	140346817	9	140373690	NELF	PNPLA7	NCI-H2172
18	51750388	9	114348445	MBD2	PTGR1	NCI-H2172
1	155726971	20	62616260	GON4L	PRPF6	NCI-H2172
6	20548936	9	27359234	CDKAL1	MOB3B	NCI-H2172
2	38570410	2	38818790	ATL2	HNRPLL	NCI-H2172
3	93722752	3	69271074	ARL13B	FRMD4B	NCI-H2172
3	23258803	3	13441361	UBE2E2	NUP210	NCI-H2081
3	23853001	3	13916670	UBE2E1	WNT7A	NCI-H2081
3	36884113	3	41439755	TRANK1	ULK4	NCI-H2081
8	56663523	3	179537764	TMEM68	PEX5L	NCI-H2081
1	53716362	1	22222803	LRP8	HSPG2	NCI-H2081
3	32188226	3	5255004	GPD1L	EDEM1	NCI-H2081
3	180630524	3	179408029	FXR1	USP13	NCI-H2081
3	10133936	3	32533378	FANCD2	CMTM6	NCI-H2081
3	68055887	3	67579610	FAM19A1	SUCLG2	NCI-H2081
1	162536138	1	163039042	UAP1	RGS4	NCI-H1882
16	69008071	16	69167361	TMCO7	CIRH1A	NCI-H1882
8	30361953	1	111434014	RBPMS	CD53	NCI-H1882
5	34950447	5	34796044	DNAJC21	RAI14	NCI-H1882
1	40348990	1	40228189	TRIT1	PPIE	NCI-H1092
1	40348990	1	40367115	TRIT1	MYCL1	NCI-H1092
1	3599744	22	43289619	TP73	PACSIN2	NCI-H1092
1	228680975	16	569754	RNF187	RAB11FIP3	NCI-H1092
1	40627308	1	40323089	RLF	TRIT1	NCI-H1092
1	40627308	1	40208888	RLF	PPIE	NCI-H1092
1	40627308	1	40367115	RLF	MYCL1	NCI-H1092
1	40627308	1	40781336	RLF	COL9A2	NCI-H1092
3	13461560	3	13916670	NUP210	WNT7A	NCI-H1092
1	78414840	16	89713739	FUBP1	CHMP1A	NCI-H1092
16	67866131	16	68010678	CENPT	DPEP3	NCI-H1092
7	63797360	6	170704575	ZNF736	FAM120B	DMS 53
17	9570068	9	17226201	USP43	CNTLN	DMS 53
1	75218109	4	174312579	TYW3	SCRG1	DMS 53
6	124125399	6	125397803	NKAIN2	RNF217	DMS 53
11	20699606	11	20636225	NELL1	SLC6A5	DMS 53
12	4874712	12	3662817	GALNT8	PRMT8	DMS 53
1	156909340	19	56189893	ARHGEF11	EPN1	DMS 53
8	145597796	8	69688634	ADCK5	C8orf34	DMS 53
19	56614508	6	20481437	ZNF787	E2F3	DMS 454
17	69414	X	123699410	RPH3AL	ODZ1	DMS 454
7	158380250	3	85932441	PTPRN2	CADM2	DMS 454
6	128643184	6	128040968	PTPRK	THEMIS	DMS 454
7	99001021	20	13869158	PDAP1	SEL1L2	DMS 454
6	74192343	6	73900296	MTO1	KCNQ5	DMS 454
1	39934404	2	55459944	MACF1	RPS27A	DMS 454
6	126278324	6	126199409	HINT3	NCOA7	DMS 454
15	65804633	15	66420749	DPP8	MEGF11	DMS 454
11	1775224	1	47834141	CTSD	CMPK1	DMS 454
1	207300240	1	207269867	C4BPA	C4BPB	DMS 454
9	34179238	12	53775443	UBAP1	SP1	RCM-1
X	10534928	X	67731691	MID1	YIPF6	RCM-1
5	112170862	5	113798746	APC	KCNN2	RCM-1
22	29661468	2	242680448	RHBDD3	D2HGDH	CW-2
12	3018746	4	151412187	TULP3	LRBA	CaR-1
1	31381296	1	28944542	SDC3	TAF12	CaR-1
4	69195720	18	77733856	YTHDC1	TXNL4A	HL-60
12	132630210	12	133102320	NOC4L	FBRSL1	HL-60
9	139757358	9	139717977	EDF1	C9orf86	HL-60
5	156816435	16	81902819	CYFIP2	PLCG2	HL-60
17	80601825	17	80622432	WDR45L	RAB40B	MKN7
18	21663045	18	20832924	TTC39C	CABLES1	MKN7
19	45397323	19	45175868	TOMM40	CEACAM19	MKN7
1	27676256	1	27614165	SYTL1	WDTC1	MKN7
9	131456321	1	150195566	SET	ANP32E	MKN7
5	272887	5	206073	PDCD6	CCDC127	MKN7
12	80083509	9	119977021	PAWR	ASTN2	MKN7
18	21456371	19	11024553	LAMA3	CARM1	MKN7
3	138289876	3	138384045	CEP70	PIK3CB	MKN7
3	140682069	7	112095818	SLC25A36	IFRD1	HT-115
17	56434829	17	56499791	RNF43	HSF5	HT-115
12	80083509	12	80266718	PAWR	PPP1R12A	HT-115
3	124646379	3	124732834	MUC13	HEG1	HT-115
17	67411141	5	127466759	MAP2K6	SLC12A2	HT-115
9	115408102	9	115567056	KIAA1958	SNX30	HT-115
3	50327360	3	49753255	IFRD2	RNF123	HT-115
19	46280585	19	46308274	DMPK	RSPH6A	HT-115
11	27384383	11	27434407	CCDC34	LGR4	HT-115
9	139702778	9	139686399	C9orf86	TMEM141	HT-115
19	49459590	12	15636908	BAX	PTPRO	HT-115
1	19536567	1	19684057	UBR4	CAPZB	Hs 675.T
17	62594500	19	47706928	SMURF2	SAE1	Hs 675.T
19	12918320	19	12856191	RNASEH2A	ASNA1	GP2d
3	15100876	1	207943666	MRPS25	CD46	GP2d
9	100774754	3	9854932	ANP32B	TTLL3	GP2d
22	28692186	22	28256229	TTC28	PITPNB	NCI-H847
15	77228063	4	1976590	RCN2	WHSC1	NCI-H847
4	140291558	4	113107849	NAA15	C4orf32	NCI-H847
11	31561330	11	31436358	ELP4	DNAJC24	NCI-H847
1	10093752	19	36611612	UBE4B	TBCB	HCC33 (DSMZ)
11	62356503	1	43868848	TUT1	SZT2	HCC33 (DSMZ)
7	2671912	7	2020176	TTYH3	MAD1L1	HCC33 (DSMZ)
1	40348990	1	40367115	TRIT1	MYCL1	HCC33 (DSMZ)
1	40309773	12	132445130	TRIT1	EP400	HCC33 (DSMZ)
11	67957384	11	65786373	SUV420H1	CATSPER1	HCC33 (DSMZ)
1	874840	12	132635526	SAMD11	NOC4L	HCC33 (DSMZ)
1	40627308	1	40367115	RLF	MYCL1	HCC33 (DSMZ)
1	40627308	1	1179877	RLF	FAM132A	HCC33 (DSMZ)
1	40627308	1	40529899	RLF	CAP1	HCC33 (DSMZ)
1	174363283	1	174973750	RABGAP1L	CACYBP	HCC33 (DSMZ)
12	133294384	12	132539519	PGAM5	EP400	HCC33 (DSMZ)
20	17240989	7	132754989	PCSK2	CHCHD3	HCC33 (DSMZ)
1	2457903	12	132635526	PANK4	NOC4L	HCC33 (DSMZ)
12	132630210	12	133144067	NOC4L	FBRSL1	HCC33 (DSMZ)
12	133084936	1	40733458	FBRSL1	ZMPSTE24	HCC33 (DSMZ)
12	133084936	12	132464242	FBRSL1	EP400	HCC33 (DSMZ)
12	133067447	1	40771859	FBRSL1	COL9A2	HCC33 (DSMZ)
1	970704	12	132635526	AGRN	NOC4L	HCC33 (DSMZ)
2	232326251	2	232577153	NCL	PTMA	SIG-M5
17	4210316	17	3959639	UBE2G1	ZZEF1	SK-MM-2
18	662320	15	79170555	TYMS	MORF4L1	SK-MM-2
12	46757509	8	110980828	SLC38A2	KCNV1	SK-MM-2
1	160709146	1	229462753	SLAMF7	C1orf96	SK-MM-2
3	38437054	3	38287566	XYLB	OXSR1	COLO 699
22	38109418	22	38072993	TRIOBP	LGALS1	COLO 699
17	80714091	8	27779762	TBCD	SCARA5	COLO 699
7	23226765	5	43297268	NUPL2	HMGCS1	COLO 699
12	26540367	2	27560887	ITPR2	GTF3C2	COLO 699
7	120595678	16	89713739	ING3	CHMP1A	COLO 699
10	100202881	16	89713739	HPS1	CHMP1A	COLO 699
7	26235467	7	44874161	HNRNPA2B1	H2AFV	COLO 699
22	38208995	19	46124590	GCAT	EML2	COLO 699
22	29683123	10	35495823	EWSR1	CREM	COLO 699
22	38901956	22	46085592	DDX17	ATXN10	COLO 699
16	81654531	16	84600561	CMIP	COTL1	COLO 699
12	32260478	7	151933018	BICD1	MLL3	COLO 699
16	2578719	16	2569219	AMDHD2	ATP6V0C	COLO 699
7	14613837	15	80412670	DGKB	ZFAND6	KHM-1B
10	27054147	12	66597491	ABI1	IRAK3	KHM-1B
20	32354847	20	30507667	ZNF341	TTLL9	BEN
10	75758133	10	76349040	VCL	ADK	BEN
20	60893510	21	45400870	LAMA5	AGPAT3	BEN
12	27107226	12	26572146	FGFR1OP2	ITPR2	BEN
2	11587753	2	10942766	E2F6	PDIA6	BEN
16	11097162	12	27156323	CLEC16A	TM7SF3	BEN
17	49197715	10	17275769	SPAG9	VIM	SNU-449
18	18983955	12	3031428	GREB1L	TULP3	SNU-182
22	19794182	22	19707125	GNB1L	SEPT5	SNU-182
19	34986676	19	34887206	WTIP	GPI	HGC-27
8	125551266	8	125597402	TATDN1	MTSS1	HGC-27
14	58714550	14	58669573	PSMA3	ACTR10	HGC-27
5	176887645	12	6879087	DBN1	PTMS	HGC-27
16	85743770	1	6292179	C16orf74	ICMT	HGC-27
14	23562688	14	23830042	ACIN1	EFS	HGC-27
17	30207592	17	38457080	UTP6	CDC6	NCI-H920
9	140093439	9	140218595	TPRN	EXD3	NCI-H920
7	115850788	7	116166579	TES	CAV1	NCI-H920
1	1599766	1	1650894	SLC35E2B	CDK11A	NCI-H920
1	161298287	1	161180381	SDHC	NDUFS2	NCI-H920
10	13658553	10	13228164	PRPF18	MCM10	NCI-H920
14	39645799	14	39584033	PNN	GEMIN2	NCI-H920
7	44721447	7	38574611	OGDH	AMPH	NCI-H920
3	9972143	3	9843345	IL17RC	ARPC4	NCI-H920
4	128729284	4	128665827	HSPA4L	SLC25A31	NCI-H920
7	23023563	7	27672064	FAM126A	HIBADH	NCI-H920
7	116502704	7	115614310	CAPZA2	TFEC	NCI-H920
2	32582554	2	32515552	BIRC6	YIPF4	NCI-H920
12	6879384	14	35550228	PTMS	FAM177A1	COV434
X	132548834	X	132888203	GPC4	GPC3	COV434
15	74836829	2	161223902	ARID3B	RBMS1	COV434
16	47271876	16	49525215	ITFG1	ZNF423	HCC1576
2	61621988	2	62110683	USP34	CCT4	COLO 794
7	131194995	17	15928331	PODXL	TTC19	COLO 794
1	39835858	17	40261404	MACF1	DHX58	COLO 794
3	124716533	3	140122471	HEG1	CLSTN2	COLO 794
17	71228225	8	144669022	FAM104A	EEF1D	COLO 794
4	99579297	4	100063931	TSPAN5	ADH4	MHH-NB-11
17	29422387	17	29844669	NF1	RAB11FIP4	MHH-NB-11
2	149840280	2	154757449	KIF5C	GALNT13	MHH-NB-11
10	95266813	1	185274775	CEP55	IVNS1ABP	MHH-NB-11
18	662320	17	75483506	TYMS	SEPT9	RT4
5	112256860	5	112364753	REEP5	MCC	RT4
1	156182967	8	144669022	PMF1	EEF1D	RT4
2	86386659	2	198353971	IMMT	HSPD1	RT4
4	77116860	4	77250120	SCARB2	CCDC158	UMC-11
1	28233439	1	29435848	RPA2	EPB41	UMC-11
10	13629152	8	11679259	PRPF18	FDFT1	UMC-11
20	30818864	20	30742906	POFUT1	TM9SF4	UMC-11
12	18534814	19	47673075	PIK3C2G	SAE1	UMC-11
5	140998365	5	141511373	DIAPH1	NDFIP1	UMC-11
22	23632600	9	133729451	BCR	ABL1	KU812
9	133589842	22	23634728	ABL1	BCR	KU812
12	922980	12	234799	WNK1	IQSEC3	JHH-1
17	73814249	17	72586658	UNK	C17orf77	JHH-1
2	160007067	19	18705244	TANC1	CRLF1	JHH-1
17	35913217	7	27284667	SYNRG	EVX1	JHH-1
12	112318331	12	112223071	MAPKAPK5	ALDH2	JHH-1
8	141554312	14	31381388	EIF2C2	STRN3	JHH-1
1	153911376	1	154027308	DENND4B	NUP210L	JHH-1
12	44238731	4	129752888	TMEM117	PHF17	HMY-1
13	114240164	13	114514709	TFDP1	FAM70B	HMY-1
11	74660444	2	203084829	SPCS2	SUMO1	HMY-1
12	42792796	12	29757232	PPHLN1	TMTC1	HMY-1
16	15123913	5	5489262	PDXDC1	KIAA0947	HMY-1
3	32611838	3	58410479	DYNC1LI1	PXK	HMY-1
5	112312683	7	140402666	DCP2	NDUFB2	HMY-1
X	153184286	X	153201029	ARHGAP4	RENBP	HMY-1
19	39218666	9	35062135	ACTN4	VCP	HMY-1
11	6629441	8	101725017	ILK	PABPC1	NCI-H2052
6	111280029	16	30780507	GTF3C6	RNF40	NCI-H2052
21	45194539	5	172351008	CSTB	ERGIC1	NCI-H2052
9	17135423	9	18622241	CNTLN	ADAMTSL1	NCI-H2052
10	17275930	12	124487970	VIM	ZNF664	NCI-H2135
2	232576693	17	38297823	PTMA	CASC3	NCI-H2135
2	85273401	2	84972204	KCMF1	DNAH6	NCI-H2135
1	21415631	11	22849420	EIF4G3	SVIP	NCI-H2135
10	70661227	10	70100931	DDX50	HNRNPH3	NCI-H2135
17	62498128	8	48696370	DDX5	PRKDC	NCI-H2135
11	47198333	17	17425709	ARFGAP2	PEMT	NCI-H2135
19	18794638	19	18724682	CRTC1	TMEM59L	LCLC-97TM1
20	43566832	16	89653078	PABPC1L	CPNE7	HCC364
16	67195840	3	46716229	FBXL8	ALS2CL	HCC364
1	21584018	16	30080820	ECE1	ALDOA	HCC364
X	19854243	13	46727080	SH3KBP1	LCP1	COR-L26
9	131456321	1	150195566	SET	ANP32E	COR-L26
10	1779245	10	3124580	ADARB2	PFKP	COR-L26
2	232576693	12	6879323	PTMA	PTMS	JJ012
8	56985676	9	95027835	RPS20	IARS	K-562
6	33240503	8	33354750	RPS18	MAK16	K-562
22	23632600	9	133729451	BCR	ABL1	K-562
15	85147564	15	85186954	ZSCAN2	WDR73	KMS-26
19	56181058	19	56113441	U2AF2	ZNF524	KMS-26
17	17782941	16	84005756	TOM1L2	NECAB2	KMS-26
19	2767578	6	7889814	SGTA	TXNDC5	KMS-26
18	42281797	15	89801935	SETBP1	FANCI	KMS-26
5	147040511	5	146804526	JAKMIP2	DPYSL3	KMS-26
17	49091593	15	72535040	SPAG9	PARP6	NCI-H2810
12	121476577	5	175779751	OASL	KIAA1191	NCI-H2810
4	38880047	14	34029327	FAM114A1	NPAS3	NCI-H2810
19	11266293	5	180669345	SPC24	GNB2L1	HCC461
9	139757740	9	137693800	EDF1	COL5A1	HCC461
9	34196456	2	73959412	UBAP1	TPRKB	SET-2
13	111340068	4	48835418	CARS2	OCIAD1	SET-2
5	149921228	5	115803443	NDST1	SEMA6A	IGR-37
3	128890498	19	40331155	CNBP	FBL	IGR-37
12	56120674	7	127361341	CD63	SND1	IGR-37
17	74077483	6	31602530	ZACN	PRRC2A	NCI-H345
16	2126586	16	846717	TSC2	CHTF18	NCI-H345
17	60613698	1	183109539	TLK2	LAMC1	NCI-H345
3	17549966	14	75295916	TBC1D5	YLPM1	NCI-H345
11	64543970	2	191520703	SF1	NAB1	NCI-H345
11	77475643	11	77652297	RSF1	INTS4	NCI-H345
1	51702551	1	51323669	RNF11	FAF1	NCI-H345
