fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
ASXL2::PPWD1__2:25806229-5:65576879	ASXL2::PPWD1	2:25806229-5:65576879	-	+	2	17	ACC	TCGA-OR-A5J2-01A-11R-A29S-07
AJAP1::CYTH3__1:4655454-7:6190531	AJAP1::CYTH3	1:4655454-7:6190531	+	-	1	13	ACC	TCGA-OR-A5J2-01A-11R-A29S-07
ASB4::DYNC1I1__7:95536550-7:95804721	ASB4::DYNC1I1	7:95536550-7:95804721	+	+	1	1	ACC	TCGA-OR-A5J3-01A-11R-A29S-07
KIF1B::FAM58A__1:10232434-X:153596187	KIF1B::FAM58A	1:10232434-X:153596187	+	-	50	448	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
FLVCR2::BATF__14:75579641-14:75546462	FLVCR2::BATF	14:75579641-14:75546462	+	+	49	328	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
PRX::BLVRB__19:40398620-19:40448046	PRX::BLVRB	19:40398620-19:40448046	-	-	54	162	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
PDXK::RRP1B__21:43758542-21:43694893	PDXK::RRP1B	21:43758542-21:43694893	+	+	32	131	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
ASPSCR1::HGS__17:81985607-17:81700467	ASPSCR1::HGS	17:81985607-17:81700467	+	+	25	93	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
SCMH1::CA6__1:41033983-1:8949263	SCMH1::CA6	1:41033983-1:8949263	-	+	19	82	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
MAPKAPK5::ALDH2__12:111842769-12:111803859	MAPKAPK5::ALDH2	12:111842769-12:111803859	+	+	9	57	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
PEBP1::DENND4B__12:118139551-1:153936188	PEBP1::DENND4B	12:118139551-1:153936188	+	-	4	76	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
NFE2L1::NPEPPS__17:48048462-17:47596353	NFE2L1::NPEPPS	17:48048462-17:47596353	+	+	10	41	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
NR5A1::NR6A1__9:124500090-9:124524873	NR5A1::NR6A1	9:124500090-9:124524873	-	-	5	43	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
CSNK1G1::CS__15:64355988-12:56286645	CSNK1G1::CS	15:64355988-12:56286645	-	-	4	42	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
GTF2I::FLAD1__7:74658068-1:154988105	GTF2I::FLAD1	7:74658068-1:154988105	+	+	7	28	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
KDM4B::CCDC94__19:5047669-19:4247119	KDM4B::CCDC94	19:5047669-19:4247119	+	+	8	23	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
SBNO2::TULP2__19:1168694-19:48889631	SBNO2::TULP2	19:1168694-19:48889631	-	-	5	34	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
TMEM87B::PVT1__2:112081118-8:127890589	TMEM87B::PVT1	2:112081118-8:127890589	+	+	5	24	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
PGAP1::HSPD1__2:196885424-2:197497392	PGAP1::HSPD1	2:196885424-2:197497392	-	-	5	16	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
RCOR1::PPP2R5C__14:102681978-14:101856686	RCOR1::PPP2R5C	14:102681978-14:101856686	+	+	3	21	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
MAP4::ENPP7P14__3:47928228-16:5111430	MAP4::ENPP7P14	3:47928228-16:5111430	-	-	5	10	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
NDEL1::KCNB1__17:8454887-20:49310799	NDEL1::KCNB1	17:8454887-20:49310799	+	-	2	17	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
ELMSAN1::ALDH6A1__14:73787102-14:74075017	ELMSAN1::ALDH6A1	14:73787102-14:74075017	-	-	2	13	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
EXOSC10::MTOR__1:11079711-1:11130777	EXOSC10::MTOR	1:11079711-1:11130777	-	-	2	9	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
PVT1::MERTK__8:127794734-2:111965191	PVT1::MERTK	8:127794734-2:111965191	+	+	2	9	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
AS3MT::SUFU__10:102890678-10:102597140	AS3MT::SUFU	10:102890678-10:102597140	+	+	2	7	ACC	TCGA-OR-A5J7-01A-11R-A29S-07
AARS2::SPATS1__6:44310994-6:44360446	AARS2::SPATS1	6:44310994-6:44360446	-	+	184	1079	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
EIF4H::AARS2__7:74174442-6:44312263	EIF4H::AARS2	7:74174442-6:44312263	+	-	118	449	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
CAPRIN1::CD151__11:34090678-11:838133	CAPRIN1::CD151	11:34090678-11:838133	+	+	8	65	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
NFKBIE::FBXO9__6:44262560-6:53071057	NFKBIE::FBXO9	6:44262560-6:53071057	-	+	1	15	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
RNF185::SMTN__22:31192702-22:31095303	RNF185::SMTN	22:31192702-22:31095303	+	+	1	6	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
DDR2::ATF6__1:162655374-1:161958446	DDR2::ATF6	1:162655374-1:161958446	+	+	1	3	ACC	TCGA-OR-A5J8-01A-11R-A29S-07
PPP2R5C::PRKD1__14:101810036-14:29599817	PPP2R5C::PRKD1	14:101810036-14:29599817	+	-	2	33	ACC	TCGA-OR-A5J9-01A-11R-A29S-07
ITPKA::NUSAP1__15:41494416-15:41342386	ITPKA::NUSAP1	15:41494416-15:41342386	+	+	2	13	ACC	TCGA-OR-A5J9-01A-11R-A29S-07
NCS1::GPR107__9:130172727-9:130127483	NCS1::GPR107	9:130172727-9:130127483	+	+	3	9	ACC	TCGA-OR-A5J9-01A-11R-A29S-07
RAD51B::BAZ1A__14:67887204-14:34758846	RAD51B::BAZ1A	14:67887204-14:34758846	+	-	2	3	ACC	TCGA-OR-A5J9-01A-11R-A29S-07
HELLPAR::NTN4__12:102315490-12:95683711	HELLPAR::NTN4	12:102315490-12:95683711	+	-	3	19	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
PAH::METAP2__12:102894735-12:95512801	PAH::METAP2	12:102894735-12:95512801	-	+	4	10	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
VCP::FAM214B__9:35072337-9:35108737	VCP::FAM214B	9:35072337-9:35108737	-	-	5	6	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
NTN4::PAH__12:95682707-12:102894918	NTN4::PAH	12:95682707-12:102894918	-	-	2	16	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
MIAT::CRYBA4__22:26657654-22:26630340	MIAT::CRYBA4	22:26657654-22:26630340	+	+	2	11	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
SLC44A2::LDLR__19:10635515-19:11131281	SLC44A2::LDLR	19:10635515-19:11131281	+	+	1	6	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
FRS2::NTN4__12:69470530-12:95670146	FRS2::NTN4	12:69470530-12:95670146	+	-	1	4	ACC	TCGA-OR-A5JA-01A-11R-A29S-07
ST3GAL3::EBNA1BP2__1:43707693-1:43261918	ST3GAL3::EBNA1BP2	1:43707693-1:43261918	+	-	6	5	ACC	TCGA-OR-A5JB-01A-11R-A29S-07
FAM19A4::LMOD3__3:68880730-3:69122409	FAM19A4::LMOD3	3:68880730-3:69122409	-	-	3	9	ACC	TCGA-OR-A5JC-01A-11R-A29S-07
PPP2R5E::XRCC3__14:63415140-14:103711567	PPP2R5E::XRCC3	14:63415140-14:103711567	-	-	3	1	ACC	TCGA-OR-A5JC-01A-11R-A29S-07
HERC1::DAPK2__15:63664470-15:63983754	HERC1::DAPK2	15:63664470-15:63983754	-	-	1	3	ACC	TCGA-OR-A5JC-01A-11R-A29S-07
MALAT1::FAM166A__11:65502076-9:137245222	MALAT1::FAM166A	11:65502076-9:137245222	+	-	15	79	ACC	TCGA-OR-A5JD-01A-11R-A29S-07
SETX::RAB14__9:132354917-9:121193419	SETX::RAB14	9:132354917-9:121193419	-	-	7	18	ACC	TCGA-OR-A5JE-01A-11R-A29S-07
SLC12A4::DPEP2__16:67957742-16:67999748	SLC12A4::DPEP2	16:67957742-16:67999748	-	-	1	19	ACC	TCGA-OR-A5JE-01A-11R-A29S-07
SNHG19::USP49__16:2155143-6:41799938	SNHG19::USP49	16:2155143-6:41799938	-	-	155	856	ACC	TCGA-OR-A5JF-01A-11R-A29S-07
FAM96B::CYFIP1__16:66933614-15:22932340	FAM96B::CYFIP1	16:66933614-15:22932340	-	-	1	2	ACC	TCGA-OR-A5JF-01A-11R-A29S-07
JADE2::UBE2B__5:134526011-5:134390225	JADE2::UBE2B	5:134526011-5:134390225	+	+	3	29	ACC	TCGA-OR-A5JK-01A-11R-A29S-07
ZBTB38::C17orf64__3:141369946-17:60431181	ZBTB38::C17orf64	3:141369946-17:60431181	+	+	2	15	ACC	TCGA-OR-A5JK-01A-11R-A29S-07
MEG3::DLK1__14:100845533-14:100728396	MEG3::DLK1	14:100845533-14:100728396	+	+	1	1	ACC	TCGA-OR-A5JK-01A-11R-A29S-07
GTF2A1::POMT2__14:81220489-14:77302943	GTF2A1::POMT2	14:81220489-14:77302943	-	-	12	38	ACC	TCGA-OR-A5JL-01A-11R-A29S-07
ANO2::GALNT8__12:5732517-12:4850740	ANO2::GALNT8	12:5732517-12:4850740	-	+	7	12	ACC	TCGA-OR-A5JL-01A-11R-A29S-07
TAF6L::PCYT1A__11:62771490-3:196242640	TAF6L::PCYT1A	11:62771490-3:196242640	+	-	12	21	ACC	TCGA-OR-A5JM-01A-11R-A29S-07
SCARB2::SGMS1__4:76213427-10:50344345	SCARB2::SGMS1	4:76213427-10:50344345	-	-	3	15	ACC	TCGA-OR-A5JM-01A-11R-A29S-07
LIN7A::R3HDM2__12:80811465-12:57310463	LIN7A::R3HDM2	12:80811465-12:57310463	-	-	3	1	ACC	TCGA-OR-A5JM-01A-11R-A29S-07
KIF5A::DTX1__12:57567618-12:113077424	KIF5A::DTX1	12:57567618-12:113077424	+	+	1	6	ACC	TCGA-OR-A5JM-01A-11R-A29S-07
WBP1L::DLK1__10:102816267-14:100728421	WBP1L::DLK1	10:102816267-14:100728421	+	+	1000	1000	ACC	TCGA-OR-A5JM-01A-11R-A29S-07
TMLHE::VBP1__X:155524456-X:155208874	TMLHE::VBP1	X:155524456-X:155208874	-	+	1	13	ACC	TCGA-OR-A5JO-01A-11R-A29S-07
LDLR::ZGLP1__19:11089615-19:10308391	LDLR::ZGLP1	19:11089615-19:10308391	+	-	421	7675	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
PEG3::DENR__19:56836070-12:122767588	PEG3::DENR	19:56836070-12:122767588	-	+	35	260	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
ZIM2::DENR__19:56836070-12:122767588	ZIM2::DENR	19:56836070-12:122767588	-	+	35	260	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
ARMC9::BLVRB__2:231198698-19:40451492	ARMC9::BLVRB	2:231198698-19:40451492	+	-	40	215	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
SCAMP4::COX8A__19:1918990-11:63976225	SCAMP4::COX8A	19:1918990-11:63976225	+	+	10	287	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
MYLIP::OR5V1__6:16130747-6:29356277	MYLIP::OR5V1	6:16130747-6:29356277	+	-	7	74	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
ZC3H4::ARHGAP35__19:47110895-19:46987989	ZC3H4::ARHGAP35	19:47110895-19:46987989	-	+	7	46	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
LAPTM4B::ARMC9__8:97776108-2:231355798	LAPTM4B::ARMC9	8:97776108-2:231355798	+	+	7	14	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
QSOX2::CTU2__9:136245476-16:88714860	QSOX2::CTU2	9:136245476-16:88714860	-	+	4	25	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
RECQL5::CACNA1G__17:75658298-17:50590471	RECQL5::CACNA1G	17:75658298-17:50590471	-	+	1	6	ACC	TCGA-OR-A5JP-01A-11R-A29S-07
DLK1::MTCO1P12__14:100729066-1:631074	DLK1::MTCO1P12	14:100729066-1:631074	+	+	1	53	ACC	TCGA-OR-A5JR-01A-11R-A29S-07
NSD1::EFNA5__5:177192019-5:107381376	NSD1::EFNA5	5:177192019-5:107381376	+	-	26	92	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
GJC1::SKAP1__17:44807394-17:48189500	GJC1::SKAP1	17:44807394-17:48189500	-	-	23	70	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
TLK2::CEP112__17:62608148-17:65689218	TLK2::CEP112	17:62608148-17:65689218	+	-	19	67	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
CCNG1::SLCO6A1__5:163444481-5:102373494	CCNG1::SLCO6A1	5:163444481-5:102373494	+	-	2	17	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
CCDC47::TERT__17:63773412-5:1282624	CCDC47::TERT	17:63773412-5:1282624	-	-	2	8	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
UIMC1::PJA2__5:176982469-5:109383520	UIMC1::PJA2	5:176982469-5:109383520	-	-	3	4	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
INTS2::GLIS3__17:61911520-9:3829492	INTS2::GLIS3	17:61911520-9:3829492	-	-	1	10	ACC	TCGA-OR-A5JS-01A-11R-A29S-07
PHF20::SPAG4__20:35899648-20:35619195	PHF20::SPAG4	20:35899648-20:35619195	+	+	9	36	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
C4B::DLK1__6:32032133-14:100734648	C4B::DLK1	6:32032133-14:100734648	+	+	1	15	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
ZNF341::C20orf144__20:33745299-20:33663532	ZNF341::C20orf144	20:33745299-20:33663532	+	+	2	8	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
CYC1::DLK1__8:144096010-14:100734465	CYC1::DLK1	8:144096010-14:100734465	+	+	1000	1000	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
RPL10::DLK1__X:154400201-14:100728950	RPL10::DLK1	X:154400201-14:100728950	+	+	1000	1000	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
NKAIN4::IGF2__20:63240784-11:2132154	NKAIN4::IGF2	20:63240784-11:2132154	-	-	1000	1000	ACC	TCGA-OR-A5JT-01A-11R-A29S-07
ADGRV1::CLPTM1L__5:90985522-5:1318453	ADGRV1::CLPTM1L	5:90985522-5:1318453	+	-	52	246	ACC	TCGA-OR-A5JV-01A-11R-A29S-07
APC::REEP2__5:112801383-5:138445683	APC::REEP2	5:112801383-5:138445683	+	+	1	8	ACC	TCGA-OR-A5JX-01A-11R-A29S-07
GABRA5::NOV__15:26869334-8:119416386	GABRA5::NOV	15:26869334-8:119416386	+	+	34	244	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
CREB3L2::CPA2__7:138001604-7:130282104	CREB3L2::CPA2	7:138001604-7:130282104	-	+	30	97	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
COMT::YPEL1__22:19964299-22:21710908	COMT::YPEL1	22:19964299-22:21710908	+	-	10	58	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
HPS4::CABIN1__22:26479265-22:24164400	HPS4::CABIN1	22:26479265-22:24164400	-	+	13	46	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
ASCC3::TXNRD2__6:100604631-22:19941897	ASCC3::TXNRD2	6:100604631-22:19941897	-	-	13	9	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
UBE2J1::CFAP206__6:89352539-6:87464020	UBE2J1::CFAP206	6:89352539-6:87464020	-	+	4	29	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
PAFAH1B2::RRP7BP__11:117144418-22:42580359	PAFAH1B2::RRP7BP	11:117144418-22:42580359	+	-	3	21	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
MGA::NUSAP1__15:41699159-15:41349098	MGA::NUSAP1	15:41699159-15:41349098	+	+	4	9	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
FGD4::SLCO1A2__12:32399959-12:21334709	FGD4::SLCO1A2	12:32399959-12:21334709	+	-	2	16	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
VPS26B::C15orf41__11:134240155-15:36644278	VPS26B::C15orf41	11:134240155-15:36644278	+	+	2	14	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
UBR2::PXT1__6:42674193-6:36400584	UBR2::PXT1	6:42674193-6:36400584	+	-	1	17	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
WWOX::CDH3__16:78164289-16:68722425	WWOX::CDH3	16:78164289-16:68722425	+	+	2	11	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
KCTD18::PLCL1__2:200497753-2:198355295	KCTD18::PLCL1	2:200497753-2:198355295	-	+	2	9	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
PKIB::BLK__6:122633367-8:11561302	PKIB::BLK	6:122633367-8:11561302	+	+	1	12	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
TBL1XR1::ATG7__3:177160871-3:11554811	TBL1XR1::ATG7	3:177160871-3:11554811	-	+	2	4	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
LIPH::EHHADH__3:185552423-3:185193487	LIPH::EHHADH	3:185552423-3:185193487	-	-	1	4	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
MBD3::PALM__19:1582622-19:726138	MBD3::PALM	19:1582622-19:726138	-	+	1	4	ACC	TCGA-OR-A5JY-01A-31R-A29S-07
C5orf56::SGF29__5:132419940-16:28581055	C5orf56::SGF29	5:132419940-16:28581055	+	+	11	33	ACC	TCGA-OR-A5JZ-01A-11R-A29S-07
MADD::POU2AF1__11:47326858-11:111358882	MADD::POU2AF1	11:47326858-11:111358882	+	-	3	58	ACC	TCGA-OR-A5JZ-01A-11R-A29S-07
LRFN5::SNORA31__14:41608562-14:41594478	LRFN5::SNORA31	14:41608562-14:41594478	+	+	3	15	ACC	TCGA-OR-A5JZ-01A-11R-A29S-07
SPEF2::C5orf42__5:35659207-5:37224740	SPEF2::C5orf42	5:35659207-5:37224740	+	-	2	6	ACC	TCGA-OR-A5JZ-01A-11R-A29S-07
MBTPS1::SLC38A8__16:84116735-16:84016727	MBTPS1::SLC38A8	16:84116735-16:84016727	-	-	35	76	ACC	TCGA-OR-A5K0-01A-11R-A29S-07
NFIC::SPATA33__19:3359685-16:89669286	NFIC::SPATA33	19:3359685-16:89669286	+	+	12	42	ACC	TCGA-OR-A5K2-01A-11R-A29S-07
MICAL3::TPTEP1__22:17816690-22:16697496	MICAL3::TPTEP1	22:17816690-22:16697496	-	+	1	7	ACC	TCGA-OR-A5K2-01A-11R-A29S-07
TLCD2::LRP5__17:1709499-11:68409914	TLCD2::LRP5	17:1709499-11:68409914	-	+	2	2	ACC	TCGA-OR-A5K2-01A-11R-A29S-07
PCMTD2::WASHC1__20:64287821-9:29739	PCMTD2::WASHC1	20:64287821-9:29739	+	-	1000	1000	ACC	TCGA-OR-A5K4-01A-11R-A29S-07
OAZ1::AMH__19:2269590-19:2250191	OAZ1::AMH	19:2269590-19:2250191	+	+	77	192	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
SIK3::CTNNBIP1__11:117098143-1:9850776	SIK3::CTNNBIP1	11:117098143-1:9850776	-	-	15	83	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
LDLR::CCDC130__19:11089615-19:13732175	LDLR::CCDC130	19:11089615-19:13732175	+	+	9	79	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
BRK1::FANCD2__3:10115819-3:10096326	BRK1::FANCD2	3:10115819-3:10096326	+	+	9	70	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
TXNDC11::CIB4__16:11736017-2:26640567	TXNDC11::CIB4	16:11736017-2:26640567	-	-	9	43	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
RAB8A::PLVAP__19:16112025-19:17366195	RAB8A::PLVAP	19:16112025-19:17366195	+	-	7	42	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
ZDHHC19::PCYT1A__3:196207398-3:196214498	ZDHHC19::PCYT1A	3:196207398-3:196214498	-	-	4	50	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
TMEM87B::MERTK__2:112060037-2:112028351	TMEM87B::MERTK	2:112060037-2:112028351	+	+	4	23	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
KCMF1::RAB1A__2:84971467-2:65098066	KCMF1::RAB1A	2:84971467-2:65098066	+	-	3	13	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
MSH5::BSCL2__6:31759177-11:62692797	MSH5::BSCL2	6:31759177-11:62692797	+	-	4	9	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
SENP2::MSH5__3:185599024-6:31758766	SENP2::MSH5	3:185599024-6:31758766	+	+	3	8	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
BTRC::MICU1__10:101354228-10:72566794	BTRC::MICU1	10:101354228-10:72566794	+	-	2	7	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
RPRD1B::MEF2B__20:38066256-19:19157142	RPRD1B::MEF2B	20:38066256-19:19157142	+	-	1	10	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
TXNDC11::BAMBI__16:11742477-10:28681258	TXNDC11::BAMBI	16:11742477-10:28681258	-	+	1	10	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
ARMC9::NPAS1__2:231198941-19:47021006	ARMC9::NPAS1	2:231198941-19:47021006	+	+	1	9	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
DPY30::MCU__2:31917926-10:72834359	DPY30::MCU	2:31917926-10:72834359	-	+	1	9	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
MEMO1::MCU__2:31917926-10:72834359	MEMO1::MCU	2:31917926-10:72834359	-	+	1	9	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
MYO1F::LRSAM1__19:8577307-9:127451929	MYO1F::LRSAM1	19:8577307-9:127451929	-	+	2	5	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
ZC3H8::PARD3B__2:112230903-2:205158722	ZC3H8::PARD3B	2:112230903-2:205158722	-	+	2	2	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
FRA10AC1::GCA__10:93684056-2:162352338	FRA10AC1::GCA	10:93684056-2:162352338	-	+	1	3	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
KCNMA1::SERTAD1__10:77637265-19:40423546	KCNMA1::SERTAD1	10:77637265-19:40423546	-	-	1	3	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
MINDY3::CRYGD__10:15843212-2:208124354	MINDY3::CRYGD	10:15843212-2:208124354	-	-	1	2	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
TMEM182::SCN3A__2:102764427-2:165164520	TMEM182::SCN3A	2:102764427-2:165164520	+	-	1	2	ACC	TCGA-OR-A5K5-01A-11R-A29S-07
ERN1::TEX2__17:64063986-17:64160933	ERN1::TEX2	17:64063986-17:64160933	-	-	26	236	ACC	TCGA-OR-A5K6-01A-11R-A29S-07
ANKRD52::RASSF3__12:56243238-12:64691470	ANKRD52::RASSF3	12:56243238-12:64691470	-	+	9	39	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
OLFM2::PLEKHG4B__19:9936304-5:113251	OLFM2::PLEKHG4B	19:9936304-5:113251	-	+	5	31	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
PALM::SGTA__19:719657-19:2769091	PALM::SGTA	19:719657-19:2769091	+	-	1	21	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
MLLT1::PRLR__19:6270579-5:35118122	MLLT1::PRLR	19:6270579-5:35118122	-	-	1	9	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
FAM19A2::IKZF4__12:62191259-12:56025054	FAM19A2::IKZF4	12:62191259-12:56025054	-	+	1	6	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
