fusionTranscriptID	fusionGeneID	breakpointID	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
AC241644.2(27311),AC239801.1(24698)::GJA5__1:147816264-1:147759271	AC241644.2(27311),AC239801.1(24698)::GJA5	1:147816264-1:147759271	-	-	intergenic	5'UTR/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
TMED7::TICAM2__5:115616318-5:115581197	TMED7::TICAM2	5:115616318-5:115581197	-	-	CDS	CDS	deletion/read-through	low	TCGA-A7-A0CH	Arriba
AP003108.2::PPP1R32__11:61438065-11:61481780	AP003108.2::PPP1R32	11:61438065-11:61481780	+	+	exon	intron	deletion/read-through	low	TCGA-A7-A0CH	Arriba
HOXC6::HOXC4__12:54017414-12:54053160	HOXC6::HOXC4	12:54017414-12:54053160	+	+	5'UTR/splice-site	exon/splice-site	deletion/read-through	low	TCGA-A7-A0CH	Arriba
CST9::CST9L__20:23603621-20:23565037	CST9::CST9L	20:23603621-20:23565037	-	-	CDS	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CH	Arriba
ZNF559::ZNF177__19:9343745-19:9364867	ZNF559::ZNF177	19:9343745-19:9364867	+	+	3'UTR	5'UTR	deletion/read-through	low	TCGA-A7-A0CH	Arriba
ZNF559::ZNF177__19:9324780-19:9364862	ZNF559::ZNF177	19:9324780-19:9364862	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CH	Arriba
ZNF559::ZNF177__19:9341184-19:9376316	ZNF559::ZNF177	19:9341184-19:9376316	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CH	Arriba
UBE2D2::CXXC5__5:139626318-5:139656974	UBE2D2::CXXC5	5:139626318-5:139656974	+	+	intron	intron	deletion/read-through	low	TCGA-A7-A0CH	Arriba
PPARGC1A(505185),DHX15(108167)::PPARGC1A__4:24409274-4:23884931	PPARGC1A(505185),DHX15(108167)::PPARGC1A	4:24409274-4:23884931	-	-	intergenic	CDS/splice-site	deletion	high	TCGA-A7-A0D9	Arriba
LINC02504::AC097486.1(55652),RNU6ATAC13P(21267)__4:171294128-4:170870200	LINC02504::AC097486.1(55652),RNU6ATAC13P(21267)	4:171294128-4:170870200	-	-	exon	intergenic	deletion	medium	TCGA-A7-A0D9	Arriba
TMED7::TICAM2__5:115616318-5:115581315	TMED7::TICAM2	5:115616318-5:115581315	-	-	CDS	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0D9	Arriba
SMIM36::PCTP__17:55488004-17:55767335	SMIM36::PCTP	17:55488004-17:55767335	+	+	intron	CDS/splice-site	deletion/read-through/3'-3'	low	TCGA-A7-A0D9	Arriba
CTSC::AP003120.1__11:88338056-11:88373237	CTSC::AP003120.1	11:88338056-11:88373237	+	+	intron	intergenic	deletion/read-through/3'-3'	low	TCGA-A7-A0D9	Arriba
ZBED4::AL671710.1__22:49860293-22:49904214	ZBED4::AL671710.1	22:49860293-22:49904214	+	+	intron	exon	deletion/read-through	low	TCGA-A7-A0D9	Arriba
KLRC4::KLRK1__12:10407633-12:10391840	KLRC4::KLRK1	12:10407633-12:10391840	-	-	3'UTR	5'UTR	deletion/read-through	low	TCGA-A7-A0D9	Arriba
RNF103::CHMP3__2:86620337-2:86542311	RNF103::CHMP3	2:86620337-2:86542311	-	-	CDS	CDS	deletion/read-through	low	TCGA-A7-A0D9	Arriba
AC092807.3::DDAH1__1:85496166-1:85360537	AC092807.3::DDAH1	1:85496166-1:85360537	-	-	exon/splice-site	intron	deletion/read-through	low	TCGA-A7-A0D9	Arriba
PCDHGB3::PCDHGC5__5:141372683-5:141485183	PCDHGB3::PCDHGC5	5:141372683-5:141485183	+	+	CDS	intergenic	deletion/read-through	low	TCGA-A7-A0D9	Arriba
GALNT16::ERH__14:69352172-14:69386193	GALNT16::ERH	14:69352172-14:69386193	+	+	3'UTR	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0D9	Arriba
FPGT::TNNI3K__1:74201410-1:74249502	FPGT::TNNI3K	1:74201410-1:74249502	+	+	CDS	CDS	deletion/read-through	low	TCGA-A7-A0D9	Arriba
FPGT::TNNI3K__1:74201410-1:74236102	FPGT::TNNI3K	1:74201410-1:74236102	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0D9	Arriba
POLA2::CDC42EP2__11:65295991-11:65318970	POLA2::CDC42EP2	11:65295991-11:65318970	+	+	3'UTR	intron	deletion/read-through	low	TCGA-A7-A0D9	Arriba
CYTOR::AC083899.1__2:87606739-2:87125220	CYTOR::AC083899.1	2:87606739-2:87125220	+	+	exon	exon	duplication	low	TCGA-A7-A0D9	Arriba
EDNRB-AS1::EDNRB__13:77833074-13:77907737	EDNRB-AS1::EDNRB	13:77833074-13:77907737	.	.	intron	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0D9	Arriba
ZHX1::C8orf76__8:123253328-8:123237926	ZHX1::C8orf76	8:123253328-8:123237926	-	-	CDS	CDS	deletion/read-through	low	TCGA-A7-A0D9	Arriba
ZHX1::C8orf76__8:123267273-8:123239144	ZHX1::C8orf76	8:123267273-8:123239144	-	-	5'UTR/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0D9	Arriba
TLR4::AL160272.1__9:117704352-9:117767096	TLR4::AL160272.1	9:117704352-9:117767096	+	+	5'UTR	intron	deletion/read-through	low	TCGA-A7-A0D9	Arriba
FTLP17::FTLP3__1:104153799-20:4024135	FTLP17::FTLP3	1:104153799-20:4024135	-	+	exon	exon	translocation	low	TCGA-A7-A0D9	Arriba
AC079142.1::AC079142.1(65517),VCX3B(24927)__X:7929391-X:8439903	AC079142.1::AC079142.1(65517),VCX3B(24927)	X:7929391-X:8439903	+	+	exon	intergenic	deletion	low	TCGA-A7-A0D9	Arriba
RABEPK::ABCB5__9:125207721-7:20670180	RABEPK::ABCB5	9:125207721-7:20670180	+	-	CDS/splice-site	intron	translocation/5'-5'	high	TCGA-A7-A0DB	Arriba
LINC02438::VAT1__4:19413871-17:43042589	LINC02438::VAT1	4:19413871-17:43042589	.	.	intron	intergenic	translocation	medium	TCGA-A7-A0DB	Arriba
AC092807.3::DDAH1__1:85577984-1:85358847	AC092807.3::DDAH1	1:85577984-1:85358847	-	-	exon/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0DB	Arriba
KLRC4::KLRK1__12:10407636-12:10388875	KLRC4::KLRK1	12:10407636-12:10388875	-	-	3'UTR	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DB	Arriba
TMED7::TICAM2__5:115616272-5:115581315	TMED7::TICAM2	5:115616272-5:115581315	-	-	CDS	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DB	Arriba
TGFBI::VTRNA2-1(16285),Vault(16285),SMAD5-AS1(32625)__5:136062687-5:136096882	TGFBI::VTRNA2-1(16285),Vault(16285),SMAD5-AS1(32625)	5:136062687-5:136096882	+	+	CDS	intergenic	deletion/read-through	low	TCGA-A7-A0DB	Arriba
BPTF::KPNA2__17:67894165-17:68037110	BPTF::KPNA2	17:67894165-17:68037110	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DB	Arriba
PCDHA10::PCDHAC2__5:140858379-5:140978947	PCDHA10::PCDHAC2	5:140858379-5:140978947	+	+	CDS	intron	deletion/read-through	low	TCGA-A7-A0DB	Arriba
DSCC1::AP005717.1__8:119855834-8:119868661	DSCC1::AP005717.1	8:119855834-8:119868661	-	-	5'UTR	intron	deletion/read-through	low	TCGA-A7-A0DB	Arriba
ARL17A::AC091132.4__17:46517137-17:45545919	ARL17A::AC091132.4	17:46517137-17:45545919	-	+	CDS	exon	inversion	low	TCGA-A7-A0DB	Arriba
CCDC18-AS1::CCDC18__1:93305431-1:93225775	CCDC18-AS1::CCDC18	1:93305431-1:93225775	-	-	exon	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0DB	Arriba
MRPS11::DET1__15:88467758-15:88518996	MRPS11::DET1	15:88467758-15:88518996	+	+	CDS	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0DB	Arriba
FSIP1::AC013652.1__15:39600845-15:39071608	FSIP1::AC013652.1	15:39600845-15:39071608	-	-	3'UTR/splice-site	exon/splice-site	deletion	high	TCGA-A7-A0DC	Arriba
FSIP1::AC013652.1__15:39600845-15:39190166	FSIP1::AC013652.1	15:39600845-15:39190166	-	-	3'UTR/splice-site	exon/splice-site	deletion	medium	TCGA-A7-A0DC	Arriba
TVP23C::CDRT4__17:15540433-17:15438200	TVP23C::CDRT4	17:15540433-17:15438200	-	-	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
STX16::NPEPL1__20:58673711-20:58691405	STX16::NPEPL1	20:58673711-20:58691405	+	+	CDS/splice-site	intron	deletion/read-through	low	TCGA-A7-A0DC	Arriba
CLN3::NPIPB6__16:28474857-16:28353061	CLN3::NPIPB6	16:28474857-16:28353061	-	-	intron	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
CTSC::RAB38__11:88300528-11:88149923	CTSC::RAB38	11:88300528-11:88149923	-	-	exon	CDS	deletion/read-through	low	TCGA-A7-A0DC	Arriba
ZNF655::TMEM225B__7:99571792-7:99600208	ZNF655::TMEM225B	7:99571792-7:99600208	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
ARMCX5-GPRASP2::GPRASP2__X:102605623-X:102713781	ARMCX5-GPRASP2::GPRASP2	X:102605623-X:102713781	+	+	exon	intron	deletion/read-through	low	TCGA-A7-A0DC	Arriba
AL512590.2::CCDC180__9:97294921-9:97307549	AL512590.2::CCDC180	9:97294921-9:97307549	+	+	exon	exon	deletion/read-through	low	TCGA-A7-A0DC	Arriba
AL512590.2::CCDC180__9:97290902-9:97307736	AL512590.2::CCDC180	9:97290902-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
CYREN::AC083870.1__7:135147976-7:134998152	CYREN::AC083870.1	7:135147976-7:134998152	-	-	intron	exon	deletion/read-through	low	TCGA-A7-A0DC	Arriba
SNRPD3(1756),LRRC75B(1812)::GGT1__22:24583808-22:24607954	SNRPD3(1756),LRRC75B(1812)::GGT1	22:24583808-22:24607954	+	+	intergenic	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
DDX31::CFAP77__9:132612101-9:132553579	DDX31::CFAP77	9:132612101-9:132553579	-	-	CDS	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0DC	Arriba
HOXC6::HOXC4__12:54019488-12:54053253	HOXC6::HOXC4	12:54019488-12:54053253	+	+	intron	exon	deletion/read-through	low	TCGA-A7-A0DC	Arriba
HOXC6::HOXC4__12:53995016-12:54053160	HOXC6::HOXC4	12:53995016-12:54053160	+	+	5'UTR/splice-site	exon/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
SPECC1L::ADORA2A__22:24369320-22:24440583	SPECC1L::ADORA2A	22:24369320-22:24440583	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
MTARC1::HLX-AS1__1:220805208-1:220855323	MTARC1::HLX-AS1	1:220805208-1:220855323	+	+	CDS	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0DC	Arriba
ELAC1::SMAD4__18:50984341-18:51030238	ELAC1::SMAD4	18:50984341-18:51030238	+	+	CDS	5'UTR	deletion/read-through	low	TCGA-A7-A0DC	Arriba
ELAC1::SMAD4__18:50974561-18:51046920	ELAC1::SMAD4	18:50974561-18:51046920	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0DC	Arriba
MTCH2::MED15__11:47635555-22:20500838	MTCH2::MED15	11:47635555-22:20500838	-	-	CDS	intron	translocation/5'-5'	low	TCGA-A7-A0DC	Arriba
TPTE2P5::COG6__13:40826506-13:39719236	TPTE2P5::COG6	13:40826506-13:39719236	-	+	exon/splice-site	CDS/splice-site	inversion	low	TCGA-A7-A0DC	Arriba
FAM66E::OR7E154P(7704),FAM90A14P(1626)__8:7986073-8:7713817	FAM66E::OR7E154P(7704),FAM90A14P(1626)	8:7986073-8:7713817	+	-	exon/splice-site	intergenic	inversion	high	TCGA-A7-A13E	Arriba
AC004980.2::POMZP3__7:76650421-7:76626216	AC004980.2::POMZP3	7:76650421-7:76626216	-	-	exon	intron	deletion/read-through	low	TCGA-A7-A13E	Arriba
PCDHGB7::PCDHGB6__5:141296956-5:141408146	PCDHGB7::PCDHGB6	5:141296956-5:141408146	.	.	intergenic	5'UTR	inversion/3'-3'	low	TCGA-A7-A13E	Arriba
NR2F2::AC087477.2__15:96337839-15:96359738	NR2F2::AC087477.2	15:96337839-15:96359738	+	+	3'UTR	intron	deletion/read-through	low	TCGA-A7-A13E	Arriba
ZNF559::ZNF177__19:9343784-19:9364862	ZNF559::ZNF177	19:9343784-19:9364862	+	+	3'UTR	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A13E	Arriba
AC090114.3::BET1L__7:128615970-11:168972	AC090114.3::BET1L	7:128615970-11:168972	+	-	exon	CDS	translocation	low	TCGA-A7-A13E	Arriba
ABCA8::AC011591.1(31914),ABCA8(37553)__17:68869716-17:68829736	ABCA8::AC011591.1(31914),ABCA8(37553)	17:68869716-17:68829736	-	-	CDS	intergenic	deletion/read-through	low	TCGA-A7-A13E	Arriba
SYS1::DBNDD2__20:45367618-20:45408460	SYS1::DBNDD2	20:45367618-20:45408460	+	+	3'UTR	CDS/splice-site	deletion/read-through	low	TCGA-A7-A13E	Arriba
SYS1::DBNDD2__20:45365686-20:45408460	SYS1::DBNDD2	20:45365686-20:45408460	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A13E	Arriba
ARMCX5-GPRASP2::ARMCX5-GPRASP2__X:102605618-X:102713781	ARMCX5-GPRASP2::ARMCX5-GPRASP2	X:102605618-X:102713781	+	+	exon	intron	deletion/read-through	low	TCGA-A7-A13E	Arriba
STON1::GTF2A1L__2:48591855-2:48620851	STON1::GTF2A1L	2:48591855-2:48620851	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A13E	Arriba
STON1::GTF2A1L__2:48597379-2:48620851	STON1::GTF2A1L	2:48597379-2:48620851	+	+	3'UTR	CDS/splice-site	deletion/read-through	low	TCGA-A7-A13E	Arriba
ARL17A::AC091132.4__17:46517180-17:45545906	ARL17A::AC091132.4	17:46517180-17:45545906	-	+	CDS	exon	inversion	low	TCGA-A7-A13E	Arriba
CLN3::NPIPB6__16:28476286-16:28353040	CLN3::NPIPB6	16:28476286-16:28353040	-	-	3'UTR	CDS	deletion/read-through	low	TCGA-A7-A13E	Arriba
MRPS6::AP000317.1__21:34125391-21:34217751	MRPS6::AP000317.1	21:34125391-21:34217751	+	+	CDS	intron	deletion/read-through	low	TCGA-A7-A13E	Arriba
LINC02018::AF228730.5__3:75443589-8:7152775	LINC02018::AF228730.5	3:75443589-8:7152775	+	+	exon	exon	translocation	low	TCGA-A7-A13E	Arriba
ARMC6::GGT5(43),GGTLC4P(2923)__19:19051741-22:24245151	ARMC6::GGT5(43),GGTLC4P(2923)	19:19051741-22:24245151	+	+	CDS	intergenic	translocation	low	TCGA-A7-A13E	Arriba
PDE4DIPP2::LINC01719__1:120489945-1:146058458	PDE4DIPP2::LINC01719	1:120489945-1:146058458	-	+	intron	exon	inversion	low	TCGA-A7-A13E	Arriba
BST1::AC005798.1(8852),CD38(25841)__4:15718934-4:15752434	BST1::AC005798.1(8852),CD38(25841)	4:15718934-4:15752434	+	+	CDS	intergenic	deletion/read-through	low	TCGA-A7-A13E	Arriba
POLR2J3::UPK3BL2(1622),SPDYE2(5761)__7:102566997-7:102545471	POLR2J3::UPK3BL2(1622),SPDYE2(5761)	7:102566997-7:102545471	-	-	CDS/splice-site	intergenic	deletion/read-through	medium	TCGA-A7-A13F	Arriba
PDE3A::ANXA2__12:20551571-15:60352475	PDE3A::ANXA2	12:20551571-15:60352475	+	-	intron	CDS/splice-site	translocation	medium	TCGA-A7-A13F	Arriba
FRG1DP::DUX4L35(29118),FRG1EP(1723)__20:29101550-20:29478424	FRG1DP::DUX4L35(29118),FRG1EP(1723)	20:29101550-20:29478424	+	-	exon	intergenic	inversion	low	TCGA-A7-A13F	Arriba
RMND5A::ANAPC1P2__2:86741002-2:87052947	RMND5A::ANAPC1P2	2:86741002-2:87052947	+	-	CDS	exon	inversion	low	TCGA-A7-A13F	Arriba
HEPHL1::PANX1__11:94086287-11:94129354	HEPHL1::PANX1	11:94086287-11:94129354	+	+	intron	CDS	deletion/read-through	low	TCGA-A7-A13F	Arriba
EPG5::AC087685.1(12223),SIGLEC15(24782)__18:45855604-18:45800893	EPG5::AC087685.1(12223),SIGLEC15(24782)	18:45855604-18:45800893	-	-	CDS	intergenic	deletion/read-through	low	TCGA-A7-A13F	Arriba
MTCH2::MED15__11:47635544-22:20500799	MTCH2::MED15	11:47635544-22:20500799	-	-	intron	5'UTR	translocation/5'-5'	low	TCGA-A7-A13F	Arriba
ZNF559::ZNF177__19:9324780-19:9371610	ZNF559::ZNF177	19:9324780-19:9371610	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A13F	Arriba
AL512590.2::CCDC180__9:97294991-9:97307736	AL512590.2::CCDC180	9:97294991-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A13F	Arriba
GUSBP1::CDH12__5:21505473-5:21965717	GUSBP1::CDH12	5:21505473-5:21965717	.	.	intron	intron	deletion/5'-5'	low	TCGA-A7-A13F	Arriba
AC007906.2::AC007346.1(32494),AC007346.2(34437)__16:53044260-16:52975958	AC007906.2::AC007346.1(32494),AC007346.2(34437)	16:53044260-16:52975958	-	-	5'UTR	intergenic	deletion/read-through	low	TCGA-A7-A13F	Arriba
PCDHGA2::PCDHGA8__5:141341249-5:141395234	PCDHGA2::PCDHGA8	5:141341249-5:141395234	+	+	CDS	CDS	deletion/read-through	low	TCGA-A7-A13F	Arriba
IL6R::SHE__1:154454582-1:154481044	IL6R::SHE	1:154454582-1:154481044	+	+	CDS	3'UTR	deletion/read-through/5'-5'	low	TCGA-A7-A13F	Arriba
PCMTD2::SEPTIN14__20:64287831-7:55796069	PCMTD2::SEPTIN14	20:64287831-7:55796069	+	-	intergenic	CDS	translocation	low	TCGA-A7-A13F	Arriba
