breakpointID	unique_samples
12:14880827-5:150447735	3
11:35226419-14:105743074	3
1:1885870-15:44717672	3
17:78110070-17:50184442	3
2:74154017-6:73494090	3
X:71299758-6:106974754	3
14:50956700-1:151769501	3
3:111412941-3:111233080	3
19:41863985-6:106971834	3
2:88857242-20:62318059	3
6:73491264-2:42350765	3
7:5560864-1:152032825	3
7:2371770-7:5527266	3
4:70664102-6:106971834	3
2:237323968-19:41860775	3
19:41863985-19:11450646	3
14:105624351-3:48084597	3
9:130471701-14:105743071	3
8:11856853-3:49359456	3
2:89022110-11:123060791	3
19:41457264-6:73517618	3
1:64186969-1:64205639	3
11:88296133-11:88149955	3
6:31463279-6:31505617	3
7:26194793-7:5527611	3
2:88857295-22:21865308	3
1:54849599-1:153358269	3
X:103378058-12:65964276	3
4:82880226-12:54854562	3
11:102448812-11:102610030	3
5:61332739-5:132257696	3
1:20651997-14:105670438	3
5:178166424-1:156593945	3
4:10069220-5:69308581	3
1:20651837-6:29672290	3
9:122213606-9:122152408	3
1:223141648-6:106971834	3
2:88857176-8:80126385	3
7:94430417-8:100937309	3
10:102398145-14:105708667	3
2:237334774-14:105626063	3
9:130091539-2:215361077	3
13:110200423-2:88857683	3
1:147099485-1:144422272	3
14:105743073-15:64156389	3
5:181236943-2:88974141	3
19:14773938-19:14390924	3
10:32906465-6:106974754	3
6:73510900-12:54854562	3
4:81154102-8:127290060	3
1:147099479-1:21484133	3
6:30724523-11:62498972	3
3:111412905-3:111233080	3
12:98548905-14:68799626	3
2:88857234-19:38728419	3
14:92741062-6:106971834	3
16:18858171-16:22513522	3
10:71827732-1:156742827	3
4:77908375-6:106971834	3
1:94638437-6:106971834	3
4:70235215-14:105975556	3
2:88845966-19:55386350	3
14:105777962-3:51995469	3
7:92749352-7:56011869	3
15:101966223-2:242078460	3
22:15785057-22:15541437	3
4:70664102-6:106974754	3
1:226071576-2:215387752	4
5:68531760-5:68433585	4
16:75531576-16:75473467	4
10:71827421-12:54854562	4
6:29672337-1:20651804	4
2:88857239-2:216134670	4
17:7240427-2:89002095	4
2:197489730-6:106974754	4
2:61534558-6:106974754	4
1:154173539-6:106971834	4
6:73491402-7:94430478	4
11:33733495-6:106974754	4
15:69455541-2:88858528	4
6:73491267-12:6748321	4
2:215400192-14:102081500	4
7:5546131-12:6748320	4
7:1472346-14:105743074	4
3:46442500-2:189012406	4
7:5540676-20:58997753	4
2:215405600-6:106971836	4
6:73491266-8:116656005	4
1:154173539-6:106974754	4
19:17830108-19:17817059	4
7:5527626-17:75779725	4
11:65239480-1:150719538	4
16:87834531-14:105743073	4
3:149380050-3:149475823	4
1:25338069-1:25342961	4
2:197489730-6:106971834	4
16:77191633-16:77170830	4
2:61534558-6:106971834	4
22:22891246-7:5527613	4
15:88901571-15:88887345	4
22:38500431-14:105743073	4
19:54212088-7:5527258	4
10:32906465-6:106971834	4
6:73510899-14:102084547	4
20:45138517-20:45124265	4
3:129908023-15:44717674	5
9:87759212-20:4120980	5
3:125970964-3:125933696	5
2:88952860-X:48578079	5
6:33300662-2:89029972	5
12:68762014-2:99196355	5
6:73511785-15:63071203	5
13:45380001-12:31117484	5
17:15516419-17:15438200	5
5:113025598-3:120395681	5
10:102398145-14:105644792	5
2:88857228-22:17180192	5
15:101966223-2:242051920	5
3:46459255-14:105743071	5
4:24660043-4:24799506	5
2:88983336-X:48578079	5
6:33300662-6:73507985	5
10:119207739-5:132257696	5
6:73524876-20:36891704	5
15:60394574-6:106974754	5
19:14381545-19:14774306	6
12:6538408-20:62387321	6
13:45379335-12:31117484	6
2:88865344-X:153509068	6
16:48165693-16:48146474	6
1:204213882-1:204192914	6
15:60394574-6:106971834	6
16:30070493-16:89560940	6
5:181236944-2:88974141	6
2:88845961-3:51995469	6
14:105741907-21:46000514	6
13:45378671-12:31117484	6
4:10072775-5:69308581	6
11:33733495-6:106971834	6
11:65239475-1:150719539	6
19:51001098-19:50981914	7
19:22052635-19:21640621	7
2:218846762-2:218871027	7
11:66625678-11:66639700	7
9:121323385-19:48965491	7
13:45377215-12:31117480	7
2:88879783-19:11450413	7
19:40668020-11:96092230	7
6:35797459-6:35786998	7
13:45383169-12:31116469	8
14:19054711-22:15778010	8
12:31121139-13:45378607	8
15:88901551-15:88895528	8
8:143579779-8:143577943	8
13:45377154-12:31117480	9
2:89148119-X:153509068	9
3:111496888-3:111233080	10
X:71141271-14:77027444	10
13:45383235-12:31116469	10
2:89148119-X:153509070	11
13:45377215-12:31116469	11
16:60024605-2:202303410	12
12:6538409-19:41860775	13
13:45381217-12:31117480	14
6:73510899-X:154399517	14
2:89149998-8:56074456	14
12:11918726-12:11891597	14
19:1274440-19:1277183	14
15:88905757-15:88887345	15
13:45378671-12:31116469	15
6:31120881-6:29929648	16
13:45383235-12:31117480	18
22:36190233-13:99494501	20
11:122538653-6:30725269	20
6:79312368-6:79215022	24
5:141352669-5:141494807	34
