fusionGenePair	tumorAnnotations
ACAP2::DLG1	Adenocarcinoma | Mature B-cell neoplasm, NOS
ACAP2::DOCK8	Adenocarcinoma
ACAP2::IQCG	Squamous cell carcinoma
ACAP2::PIK3CA	Astrocytoma, grade III-IV/Glioblastoma
ACAP2::UBE2J2	Adenocarcinoma
ACAP2::XXYLT1	Squamous cell carcinoma | Transitional cell carcinoma | Adenocarcinoma
ACAP3::DVL1	Squamous cell carcinoma | Astrocytoma, grade III-IV/Glioblastoma
ACAP3::INTS11	Adenocarcinoma
ACAP3::SCNN1D	Adenocarcinoma
ACAP3::TMEM240	Adenocarcinoma
ACBD3::RAB5B	Malignant epithelial tumor, special type
ACBD4::LRRC37A	Squamous cell carcinoma
ACBD5::ANKRD26	Adenocarcinoma
ACBD5::RET	Adenocarcinoma
ACBD5::ZEB1	Adenocarcinoma
ACBD6::CCDC122	Mesenchymal tumor, NOS
ACBD6::CHIT1	Adenocarcinoma
ACBD6::GON4L	Adenocarcinoma
ACBD6::IVNS1ABP	Adenocarcinoma
ACBD6::PGBD2	Adenocarcinoma
ACBD6::RRP15	Adenocarcinoma
ACCS::EXT2	Chronic myeloid leukemia, t(9;22) | Heart
ACE2::GPR143	Adenocarcinoma
ACE::CCDC47	Adenocarcinoma
ACE::MAP3K3	Adenocarcinoma
ACER2::CFAP418	Adenocarcinoma
ACER2::DENND4C	Adenocarcinoma
ACER3::EMSY	Adenocarcinoma
ACER3::NARS2	Adenocarcinoma
ACER3::NRL	Adenocarcinoma
ACER3::PC	Adenocarcinoma
ACER3::PPME1	Adenocarcinoma
ACER3::THRSP	Adenocarcinoma
ACER3::UVRAG	Adenocarcinoma
ACER3::ZNF451	Malignant melanoma
ACHE::VPS50	Astrocytoma, grade III-IV/Glioblastoma
ACIN1::HAUS4	Squamous cell carcinoma
ACIN1::NUTM1	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ACIN1::SHTN1	Squamous cell carcinoma
ACKR2::POMGNT2	Transitional cell carcinoma
ACKR3::GOLM2	Adenocarcinoma
ACLY::DNAJC7	Adenocarcinoma
ACLY::NEUROD2	Adenocarcinoma
ACLY::NF1	Malignant epithelial tumor, special type
ACLY::TAF15	Mesenchymal tumor, NOS
ACLY::WEE1	Adenocarcinoma
ACO1::TYRP1	Adenocarcinoma
ACO2::ACTB	Adenocarcinoma
ACO2::AHRR	Malignant melanoma
ACO2::ARHGAP8	Adenocarcinoma
ACO2::C1QTNF7	Malignant melanoma
ACO2::CACNG2	Adenocarcinoma
ACO2::CRADD	Adenocarcinoma
ACO2::ISX	Miscellaneous hematopoietic/lymphoid neoplasm, special type
ACO2::PRR5	Adenocarcinoma
ACO2::RASGEF1C	Malignant melanoma
ACO2::TANGO2	Malignant melanoma
ACO2::TBCD	Adenocarcinoma
ACO2::TEF	Adenocarcinoma
ACO2::UBE2A	Adenocarcinoma
ACO2::ZC3H7B	Adenocarcinoma
ACOT11::C8B	Adenocarcinoma
ACOT11::GIP	Malignant epithelial tumor, special type
ACOT12::SSBP2	Adenocarcinoma
ACOT2::ZNF320	Mesenchymal tumor, NOS
ACOT7::DNAJC11	Transitional cell carcinoma | Malignant epithelial tumor, special type
ACOT7::FUCA1	Adenocarcinoma
ACOT7::KLHL21	Adenocarcinoma
ACOT7::MIB2	Squamous cell carcinoma
ACOT7::NPHP4	Acute lymphoblastic leukemia/lymphoblastic lymphoma | Malignant melanoma
ACOT7::NSMCE2	Adenocarcinoma
ACOT7::PLEKHG5	Adenocarcinoma
ACOT7::TTC34	Adenocarcinoma
ACOT7::ZFP69	Russia | Primitive neuroectodermal tumor/Medulloblastoma
ACOT9::APOO	Adenocarcinoma
ACOX1::EXOC7	Adenocarcinoma
ACOX1::PPP2R3B	Transitional cell carcinoma
ACOX1::SRP68	Adenocarcinoma | Transitional cell carcinoma
ACOX3::CD96	Transitional cell carcinoma
ACOX3::STAT1	Mesothelioma
ACOX3::VAMP7	Transitional cell carcinoma
ACOXL::KLHL23	Transitional cell carcinoma
ACOXL::SSB	Transitional cell carcinoma
ACOXL::UNC5D	Transitional cell carcinoma
ACP2::CD74	Squamous cell carcinoma
ACP2::MRPL48	Adenocarcinoma
ACP3::ARFIP1	Adenocarcinoma
ACP3::ATP2C1	Adenocarcinoma
ACP3::AXL	Adenocarcinoma
ACP3::BCR	Adenocarcinoma
ACP3::MYC	Adenocarcinoma
ACP3::NEDD4L	Adenocarcinoma
ACP3::NPY	Adenocarcinoma
ACP3::OGT	Adenocarcinoma
ACP3::PIK3CB	Adenocarcinoma
ACP3::RDH11	Adenocarcinoma
ACP3::SAFB2	Adenocarcinoma
ACP3::SKIL	Adenocarcinoma
ACP3::STAT6	Adenocarcinoma
ACP3::ZNF462	Adenocarcinoma
ACP5::GTF2F1	Malignant melanoma
ACP6::INTS7	Adenocarcinoma
ACP6::PIAS3	Mesenchymal tumor, NOS
ACP7::ACTN4	Adenocarcinoma
ACSBG1::IDH3A	Adenocarcinoma
ACSF2::ABCA9	Malignant melanoma
ACSF2::SPAG9	Adenocarcinoma
ACSF3::MYH7B	Adenocarcinoma
ACSF3::ZC3H18	Mycosis fungoides/Sézary syndrome
ACSF3::ZNF483	Mesenchymal tumor, NOS
ACSL3::ETV1	Adenocarcinoma
ACSL3::KCNE4	Adenocarcinoma
ACSL3::MOGAT1	Adenocarcinoma
ACSL3::PHGDH	Adenocarcinoma
ACSL3::SGPP2	Adenocarcinoma
ACSL3::SMARCAL1	Adenocarcinoma
ACSL4::DCAF6	Adenocarcinoma
ACSL4::USP6	Aneurysmal bone cyst
ACSL5::ATE1	Adenocarcinoma
ACSL5::TCF7L2	Adenocarcinoma
ACSL6::CDS2	Adenocarcinoma
ACSM1::DNAH3	Adenocarcinoma
ACSM2A::ABCC6	Adenocarcinoma
ACSM2B::NOTCH2	Adenocarcinoma
ACSS1::APMAP	Adenocarcinoma
ACSS1::CDH4	Adenocarcinoma
ACSS1::DBNDD2	Squamous cell carcinoma
ACSS1::PHACTR3	Adenocarcinoma
ACSS1::ZFAND3	Adenocarcinoma
ACSS2::GSS	Adenocarcinoma
ACSS3::AVIL	Mesenchymal tumor, NOS
ACSS3::CYP39A1	Mesenchymal tumor, NOS
ACSS3::INSR	Mesenchymal tumor, NOS
ACSS3::STAU2	Mesenchymal tumor, NOS
ACTA2::COL6A1	Mesenchymal tumor, NOS
ACTA2::PLAG1	Adenoma
ACTB::AHSG	Adenocarcinoma
ACTB::ALB	Adenocarcinoma
ACTB::CDC5L	Transitional cell carcinoma
ACTB::CELA3A	Adenocarcinoma
ACTB::COL17A1	Adenocarcinoma | Squamous cell carcinoma
ACTB::CSE1L	Squamous cell carcinoma
ACTB::EML2	Adenocarcinoma
ACTB::FOSB	Pseudomyogenic hemangioendothelioma
ACTB::GLI1	Epithelioid sarcoma | Soft tissue tumor, special type | Vascular and perivascular tumor, special type | Undifferentiated round cell sarcoma | Mesenchymal tumor, NOS | Soft tissue tumor, NOS | Mesenchymal tumor, special type | Pericytoma
ACTB::GNAS	Adenocarcinoma
ACTB::GSE1	Adenocarcinoma
ACTB::HLA-DQB1	Adenocarcinoma
ACTB::KLF2	Multiple myeloma
ACTB::MAML2	Vascular and perivascular tumor, special type
ACTB::MITF	Melanocytic neoplasm, special type
ACTB::NOL4L	Adenocarcinoma
ACTB::NOP53	Squamous cell carcinoma
ACTB::NR4A3	Leiomyosarcoma
ACTB::PMP2	Astrocytoma, grade I-II
ACTB::POTEE	Squamous cell carcinoma
ACTB::RACK1	Adenocarcinoma
ACTB::RNF216	Adenocarcinoma
ACTB::SAFB	Adenocarcinoma
ACTB::SELENOP	Adenocarcinoma
ACTB::TFEB	Adenocarcinoma
ACTB::TM4SF4	Adenocarcinoma
ACTB::YWHAE	Squamous cell carcinoma
ACTG1::ANKS1A	Malignant epithelial tumor, special type
ACTG1::CCNC	Squamous cell carcinoma
ACTG1::CCT5	Adenocarcinoma
ACTG1::CLCN3	Adenocarcinoma
ACTG1::CXCR5	Diffuse large B-cell lymphoma
ACTG1::DDX21	Adenocarcinoma
ACTG1::IGK	Multiple myeloma
ACTG1::MITF	Adenocarcinoma | Melanocytic neoplasm, special type
ACTG1::PLEKHA5	Adenocarcinoma
ACTG1::PPP1R12C	Adenocarcinoma
ACTG1::SPRR1B	Squamous cell carcinoma
ACTG1::STAT6	Adenocarcinoma
ACTG1::THSD4	Adenocarcinoma
ACTG1::USP7	Squamous cell carcinoma
ACTG1::ZNF827	Adenocarcinoma
ACTG2::ALK	Inflammatory myofibroblastic tumor/myofibroblastic sarcoma | Leiomyosarcoma | Mesenchymal tumor, NOS
ACTG2::PLAG1	Leiomyoma
ACTL6A::ALG3	Squamous cell carcinoma
ACTL6A::BGN	Multiple myeloma
ACTL6A::PIK3CA	Adenocarcinoma
ACTL8::ACOX1	Adenocarcinoma
ACTN1::DCAF5	Adenocarcinoma
ACTN1::PRKD1	Adenocarcinoma
ACTN1::RNF41	Adenocarcinoma
ACTN1::SCGN	Adenocarcinoma
ACTN2::CHRM3	Adenocarcinoma
ACTN4::APLP1	Squamous cell carcinoma
ACTN4::CAPZB	Adenocarcinoma
ACTN4::CATSPERG	Squamous cell carcinoma
ACTN4::CIB3	Adenocarcinoma
ACTN4::EIF3K	Transitional cell carcinoma | Adenocarcinoma
ACTN4::FTO	Adenocarcinoma
ACTN4::IGF2BP2	Squamous cell carcinoma
ACTN4::KIRREL2	Squamous cell carcinoma
ACTN4::MGST2	Adenocarcinoma
ACTN4::NOVA2	Adenocarcinoma
ACTN4::RPS16	Adenocarcinoma
ACTN4::RYR1	Adenocarcinoma
ACTN4::SPINT2	Malignant epithelial tumor, special type
ACTN4::SUPT5H	Adenocarcinoma
ACTN4::TXNDC12	Astrocytoma, grade III-IV/Glioblastoma
ACTN4::YIF1B	Adenocarcinoma
ACTR10::GALC	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ACTR10::MKX	Mesenchymal tumor, NOS
ACTR1A::ARL3	Adenocarcinoma
ACTR1A::EFCAB13	Malignant epithelial tumor, special type
ACTR1A::ODAD2	Adenocarcinoma
ACTR1A::STN1	Adenocarcinoma
ACTR2::GGACT	Adenocarcinoma
ACTR2::SORBS2	Adenocarcinoma
ACTR2::TSGA10	Squamous cell carcinoma
ACTR3::POLR1B	Adenocarcinoma
ACTR3::SLC4A10	Squamous cell carcinoma
ACTR3::VPS13B	Squamous cell carcinoma
ACTR3::ZRANB3	Adenocarcinoma
ACTR3B::PTPRN2	Adenocarcinoma
ACTR3B::TAB2	Adenocarcinoma
ACTR3C::GIMAP2	Adenocarcinoma
ACTR3C::SORCS1	Squamous cell carcinoma
ACTR5::RPRD1B	Adenocarcinoma
ACTR5::ZNF217	Adenocarcinoma
ACTR5::ZNF682	Transitional cell carcinoma
ACTR8::GOLM2	Multiple myeloma
ACVR1::CCDC148	Adenocarcinoma
ACVR1::CDK4	Malignant melanoma
ACVR1::GNLY	Adenocarcinoma
ACVR1::NFATC1	Adenocarcinoma
ACVR1B::ACVRL1	Adenocarcinoma
ACVR1B::ANKRD33	Adenocarcinoma
ACVR1B::CS	Adenocarcinoma
ACVR1B::PCBP2	Adenocarcinoma
ACVR1B::SCAF11	Astrocytoma, grade III-IV/Glioblastoma
ACVR1B::SUPT16H	Adenocarcinoma
ACVR1B::TAMALIN	Adenocarcinoma
ACVR1C::MGAT5	Squamous cell carcinoma
ACVR2A::AKT3	Adenocarcinoma
ACVR2A::CASP8	Squamous cell carcinoma
ACVR2A::EPC2	Adenocarcinoma
ACVR2A::KANK1	Adenocarcinoma
ACVR2A::PIGF	Adenocarcinoma
ACVR2A::RAF1	Soft tissue tumor, special type
ACVR2A::SUMO1	Mesenchymal tumor, NOS
ACVR2B::KRTAP5-2	Undifferentiated carcinoma, small cell
ACY1::BAP1	Mesothelioma
ACYP2::ALK	Adenocarcinoma
ACYP2::CFAP36	Adenocarcinoma
ACYP2::EML6	Adenocarcinoma
ACYP2::PPP1CB	Squamous cell carcinoma
ADAL::TERB2	Mesenchymal tumor, NOS
ADAM10::ALDH1A2	Adenocarcinoma
ADAM10::BLVRB	Adenocarcinoma
ADAM10::FIZ1	Adenocarcinoma
ADAM10::MYO1E	Adenocarcinoma
ADAM10::PLAC9	Adenocarcinoma
ADAM10::TERB2	Transitional cell carcinoma
ADAM10::ZNF770	Astrocytoma, grade I-II
ADAM15::CHD1L	Adenocarcinoma
ADAM15::DCST1	Adenocarcinoma
ADAM17::ITGB1BP1	Squamous cell carcinoma
ADAM17::LTO1	Transitional cell carcinoma
ADAM17::NHEJ1	Astrocytoma, grade III-IV/Glioblastoma
ADAM17::YWHAQ	Astrocytoma, grade III-IV/Glioblastoma
ADAM18::LSM1	Adenocarcinoma
ADAM19::FNDC9	Malignant melanoma
ADAM22::ASB4	Adenocarcinoma
ADAM22::RUNDC3B	Adenocarcinoma
ADAM23::CERKL	Squamous cell carcinoma
ADAM23::PLPP1	Squamous cell carcinoma
ADAM23::SGO2	Adenocarcinoma
ADAM2::MTMR2	Adenocarcinoma
ADAM32::ZNF251	Adenocarcinoma
ADAM9::CLYBL	Adenocarcinoma
ADAM9::CRB1	Adenocarcinoma
ADAM9::ERCC8	Squamous cell carcinoma
ADAM9::HTRA4	Squamous cell carcinoma
ADAM9::KCNU1	Adenocarcinoma
ADAM9::LETM2	Adenocarcinoma
ADAM9::PLPBP	Adenocarcinoma
ADAM9::RGS20	Adenocarcinoma
ADAM9::RNF170	Squamous cell carcinoma
ADAM9::TACC1	Adenocarcinoma
ADAM9::TESMIN	Transitional cell carcinoma
ADAM9::UNC5D	Transitional cell carcinoma
ADAMTS10::MLLT1	Adenocarcinoma
ADAMTS12::C1QTNF3	Adenocarcinoma
ADAMTS12::FBXO38	Squamous cell carcinoma
ADAMTS12::RAI14	Malignant melanoma
ADAMTS12::ZFR	Adenocarcinoma
ADAMTS13::LHX2	Adenocarcinoma
ADAMTS16::ETV6	Adenocarcinoma
ADAMTS16::TERT	Adenocarcinoma
ADAMTS17::AKAP13	Malignant melanoma
ADAMTS17::CERS3	Squamous cell carcinoma
ADAMTS17::LPAR1	Astrocytoma, grade III-IV/Glioblastoma
ADAMTS17::LRRC28	Adenocarcinoma
ADAMTS17::NCF4	Malignant melanoma
ADAMTS17::PCDHA13	Adenocarcinoma
ADAMTS17::PCDHA8	Adenocarcinoma
ADAMTS17::PCDHAC1	Adenocarcinoma
ADAMTS17::PCDHAC2	Adenocarcinoma
ADAMTS17::RTKN2	Adenocarcinoma
ADAMTS17::SLC12A1	Mesenchymal tumor, NOS
ADAMTS19::SLC27A6	Adenocarcinoma
ADAMTS20::C12ORF43	Astrocytoma, grade I-II
ADAMTS20::CBFA2T2	Adenoid cystic carcinoma
ADAMTS20::MYRFL	Mesenchymal tumor, NOS
ADAMTS2::OXCT1	Adenocarcinoma
ADAMTS2::ZNF354C	Adenocarcinoma
ADAMTS3::GUCY1B1	Adenocarcinoma
ADAMTS3::SNX30	Squamous cell carcinoma
ADAMTS6::CLPTM1L	Adenocarcinoma
ADAMTS7::TMEM135	Malignant melanoma
ADAMTS9::CHL1	Adenocarcinoma
ADAMTS9::PRICKLE2	Malignant epithelial tumor, special type
ADAMTS9::SYNPR	Adenocarcinoma
