fusionTranscriptID	fusionGenePair	breakpointID	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
LRP8::SLC25A3P1__1:53271028-1:53439048	LRP8::SLC25A3P1	1:53271028-1:53439048	-	-	CDS/splice-site	exon/splice-site	duplication	high	HCC-95	Arriba
LRP8::SLC25A3P1__1:53271028-1:53413268	LRP8::SLC25A3P1	1:53271028-1:53413268	-	-	CDS/splice-site	exon/splice-site	duplication	low	HCC-95	Arriba
NEK7::SYK__1:198157276-9:90845434	NEK7::SYK	1:198157276-9:90845434	+	+	5'UTR/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
AGPS::HNRNPA3__2:177420358-2:177222060	AGPS::HNRNPA3	2:177420358-2:177222060	+	+	CDS/splice-site	3'UTR/splice-site	duplication	high	HCC-95	Arriba
AGPS::HNRNPA3__2:177426876-2:177219762	AGPS::HNRNPA3	2:177426876-2:177219762	+	+	intron	3'UTR	duplication	medium	HCC-95	Arriba
SERTAD2(62643),RN7SL341P(3730)::LINC01799__2:64813648-2:66945288	SERTAD2(62643),RN7SL341P(3730)::LINC01799	2:64813648-2:66945288	-	+	intergenic	exon/splice-site	inversion	high	HCC-95	Arriba
LINC01799::LRRTM4__2:66945474-2:76748916	LINC01799::LRRTM4	2:66945474-2:76748916	+	-	exon/splice-site	CDS/splice-site	inversion	high	HCC-95	Arriba
LASTR::LASTR__10:5598821-10:5602618	LASTR::LASTR	10:5598821-10:5602618	.	.	intron	intron	duplication	high	HCC-95	Arriba
LBR::AL354983.1(12499),HMGB1P26(2831)__1:225423911-1:229702403	LBR::AL354983.1(12499),HMGB1P26(2831)	1:225423911-1:229702403	-	-	CDS/splice-site	intergenic	duplication	high	HCC-95	Arriba
LAMA5::GATA5__20:62333901-20:62475542	LAMA5::GATA5	20:62333901-20:62475542	-	-	CDS/splice-site	5'UTR/splice-site	duplication	high	HCC-95	Arriba
LAMA5::GATA5__20:62334186-20:62475542	LAMA5::GATA5	20:62334186-20:62475542	-	-	CDS/splice-site	5'UTR/splice-site	duplication	medium	HCC-95	Arriba
DOCK4::CALN1__7:112206102-7:72106294	DOCK4::CALN1	7:112206102-7:72106294	-	-	CDS/splice-site	CDS/splice-site	deletion	high	HCC-95	Arriba
TBC1D32::AC068631.1__6:121162970-3:186651871	TBC1D32::AC068631.1	6:121162970-3:186651871	-	-	exon/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
CR381670.1::ZNF595__21:8873087-4:67840	CR381670.1::ZNF595	21:8873087-4:67840	+	+	exon/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
SPIDR::CEBPD(26153),PRKDC(8794)__8:47294030-8:47764317	SPIDR::CEBPD(26153),PRKDC(8794)	8:47294030-8:47764317	+	+	CDS/splice-site	intergenic	deletion	high	HCC-95	Arriba
SYK::MROH3P__9:90801893-1:200948092	SYK::MROH3P	9:90801893-1:200948092	+	+	5'UTR/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
SYK::MROH3P__9:90801893-1:200957299	SYK::MROH3P	9:90801893-1:200957299	+	+	5'UTR/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
SYK::MROH3P__9:90802039-1:200948092	SYK::MROH3P	9:90802039-1:200948092	+	+	exon/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
SYK::MROH3P__9:90802039-1:200957299	SYK::MROH3P	9:90802039-1:200957299	+	+	exon/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
SYK::MROH3P__9:90801893-1:200960332	SYK::MROH3P	9:90801893-1:200960332	+	+	5'UTR/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
SYK::MROH3P__9:90802039-1:200948697	SYK::MROH3P	9:90802039-1:200948697	+	+	exon/splice-site	exon/splice-site	translocation	medium	HCC-95	Arriba
SYK::MROH3P__9:90802039-1:200965031	SYK::MROH3P	9:90802039-1:200965031	+	+	exon/splice-site	exon/splice-site	translocation	medium	HCC-95	Arriba
PLD1::AL354953.1__3:171724696-1:183258109	PLD1::AL354953.1	3:171724696-1:183258109	-	+	CDS/splice-site	intron	translocation	high	HCC-95	Arriba
PLD1::AL354953.1__3:171724696-1:183258722	PLD1::AL354953.1	3:171724696-1:183258722	-	+	CDS/splice-site	exon/splice-site	translocation	high	HCC-95	Arriba
DGUOK-AS1::LINC01800(19214),LINC02245(19000)__2:73981109-2:64882840	DGUOK-AS1::LINC01800(19214),LINC02245(19000)	2:73981109-2:64882840	-	-	exon/splice-site	intergenic	deletion	high	HCC-95	Arriba
BCAS3::CHODL__17:60887211-21:17976793	BCAS3::CHODL	17:60887211-21:17976793	+	+	5'UTR/splice-site	intron	translocation	high	HCC-95	Arriba
LINC01799::AC018462.1__2:66945474-2:62090801	LINC01799::AC018462.1	2:66945474-2:62090801	+	-	exon/splice-site	exon/splice-site	inversion	high	HCC-95	Arriba
AC011632.1::CRISPLD1__8:74866518-8:74984729	AC011632.1::CRISPLD1	8:74866518-8:74984729	-	+	exon/splice-site	5'UTR	inversion	high	HCC-95	Arriba
MLXIPL::ZBTB8B__7:73624200-1:32490501	MLXIPL::ZBTB8B	7:73624200-1:32490501	-	-	CDS/splice-site	3'UTR	translocation/5'-5'	high	HCC-95	Arriba
NAV1::LYST__1:201794577-1:235702977	NAV1::LYST	1:201794577-1:235702977	+	-	CDS/splice-site	CDS/splice-site	inversion	high	HCC-95	Arriba
TOR1AIP1::RBFOX1__1:179884769-16:7055728	TOR1AIP1::RBFOX1	1:179884769-16:7055728	+	-	CDS/splice-site	intron	translocation/5'-5'	high	HCC-95	Arriba
CICP8::SEPTIN14__7:56364724-7:55796092	CICP8::SEPTIN14	7:56364724-7:55796092	-	-	exon	CDS/splice-site	deletion/3'-3'	high	HCC-95	Arriba
GPR39::NCKAP5__2:132417898-2:133517587	GPR39::NCKAP5	2:132417898-2:133517587	+	-	CDS/splice-site	5'UTR/splice-site	inversion	high	HCC-95	Arriba
LNC-LBCS::SFMBT2__6:19764888-10:7227937	LNC-LBCS::SFMBT2	6:19764888-10:7227937	-	-	intron	CDS/splice-site	translocation	high	HCC-95	Arriba
TET3::LINC01800__2:73986706-2:64849547	TET3::LINC01800	2:73986706-2:64849547	+	-	CDS/splice-site	exon/splice-site	inversion	high	HCC-95	Arriba
ANKRD33B::AC112200.2(11998),AC112200.1(1392)__5:10564833-5:10555190	ANKRD33B::AC112200.2(11998),AC112200.1(1392)	5:10564833-5:10555190	+	+	CDS/splice-site	intergenic	duplication	high	HCC-95	Arriba
AKR1C1::AKR1E2__10:4963528-10:4830675	AKR1C1::AKR1E2	10:4963528-10:4830675	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
AKR1C1::AKR1E2__10:4963528-10:4824962	AKR1C1::AKR1E2	10:4963528-10:4824962	+	+	CDS/splice-site	5'UTR/splice-site	duplication	medium	HCC-95	Arriba
AKR1C1::AKR1E2__10:4963528-10:4833350	AKR1C1::AKR1E2	10:4963528-10:4833350	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
AKR1C1::AKR1E2__10:4963528-10:4835675	AKR1C1::AKR1E2	10:4963528-10:4835675	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
CD44::CDRT15P6__11:35139370-9:41341611	CD44::CDRT15P6	11:35139370-9:41341611	+	-	CDS/splice-site	exon/splice-site	translocation	medium	HCC-95	Arriba
ABTB2::LINC01493(97467),AC021723.2(240841)__11:34169373-11:38783790	ABTB2::LINC01493(97467),AC021723.2(240841)	11:34169373-11:38783790	-	-	intron	intergenic	duplication	medium	HCC-95	Arriba
RBM14::RBM4__11:66617057-11:66646027	RBM14::RBM4	11:66617057-11:66646027	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	medium	HCC-95	Arriba
RBM14::RBM4__11:66617057-11:66643450	RBM14::RBM4	11:66617057-11:66643450	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	medium	HCC-95	Arriba
RBM14::RBM4__11:66617057-11:66639700	RBM14::RBM4	11:66617057-11:66639700	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
RBM14::RBM4__11:66617057-11:66643859	RBM14::RBM4	11:66617057-11:66643859	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	HCC-95	Arriba
RBM14::RBM4__11:66625678-11:66639700	RBM14::RBM4	11:66625678-11:66639700	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
AL160279.1(17259),CTSL3P(13241)::SMOX__9:87759212-20:4120980	AL160279.1(17259),CTSL3P(13241)::SMOX	9:87759212-20:4120980	-	+	intergenic	exon	translocation	medium	HCC-95	Arriba
KMT2A::SCN2B__11:118440170-11:118166928	KMT2A::SCN2B	11:118440170-11:118166928	+	+	intron	CDS	duplication/5'-5'	medium	HCC-95	Arriba
TPM3::C1orf43__1:154182988-1:154214574	TPM3::C1orf43	1:154182988-1:154214574	-	-	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
NCOA2(218),AC022730.2(20099)::TRAM1__8:70404026-8:70583793	NCOA2(218),AC022730.2(20099)::TRAM1	8:70404026-8:70583793	-	-	intergenic	CDS/splice-site	duplication	medium	HCC-95	Arriba
CTNNA1::SNHG4__5:138827718-5:139276121	CTNNA1::SNHG4	5:138827718-5:139276121	+	+	CDS/splice-site	exon/splice-site	deletion	medium	HCC-95	Arriba
LDLRAD3::CD44__11:36098461-11:35180274	LDLRAD3::CD44	11:36098461-11:35180274	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
LDLRAD3::CD44__11:36098461-11:35176575	LDLRAD3::CD44	11:36098461-11:35176575	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
LDLRAD3::CD44__11:36098461-11:35186832	LDLRAD3::CD44	11:36098461-11:35186832	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
LDLRAD3::CD44__11:35944144-11:35176575	LDLRAD3::CD44	11:35944144-11:35176575	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
LDLRAD3::CD44__11:36098461-11:35208105	LDLRAD3::CD44	11:36098461-11:35208105	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
LDLRAD3::CD44__11:35944144-11:35214852	LDLRAD3::CD44	11:35944144-11:35214852	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
TVP23C::CDRT4__17:15540433-17:15440285	TVP23C::CDRT4	17:15540433-17:15440285	-	-	CDS/splice-site	5'UTR/splice-site	deletion/read-through	medium	HCC-95	Arriba
TVP23C::CDRT4__17:15540433-17:15438200	TVP23C::CDRT4	17:15540433-17:15438200	-	-	CDS/splice-site	CDS/splice-site	deletion/read-through	low	HCC-95	Arriba
TVP23C::CDRT4__17:15516419-17:15440285	TVP23C::CDRT4	17:15516419-17:15440285	-	-	3'UTR/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
LDLRAD3::RPL7AP56(9828),LINC02760(202317)__11:36098461-11:37736284	LDLRAD3::RPL7AP56(9828),LINC02760(202317)	11:36098461-11:37736284	+	+	CDS/splice-site	intergenic	deletion	medium	HCC-95	Arriba
RBFA::TNKS__18:80034654-8:9627126	RBFA::TNKS	18:80034654-8:9627126	+	+	exon/splice-site	intron	translocation	medium	HCC-95	Arriba
CTNNA1::MATR3__5:138827718-5:139276121	CTNNA1::MATR3	5:138827718-5:139276121	+	+	CDS/splice-site	5'UTR/splice-site	deletion	medium	HCC-95	Arriba
CTNNA1::MATR3__5:138827718-5:139314675	CTNNA1::MATR3	5:138827718-5:139314675	+	+	CDS/splice-site	CDS/splice-site	deletion	low	HCC-95	Arriba
TAOK2::AC009093.3__16:29974057-16:29090279	TAOK2::AC009093.3	16:29974057-16:29090279	+	+	5'UTR	intron	duplication/5'-5'	medium	HCC-95	Arriba
TAOK2::AC009093.9__16:29974057-16:29090279	TAOK2::AC009093.9	16:29974057-16:29090279	+	+	5'UTR	intron	duplication	medium	HCC-95	Arriba
SOGA3::KIAA0408__6:127473080-6:127454101	SOGA3::KIAA0408	6:127473080-6:127454101	-	-	3'UTR	5'UTR/splice-site	deletion/read-through	medium	HCC-95	Arriba
DGUOK::VAX2__2:73949698-2:70954542	DGUOK::VAX2	2:73949698-2:70954542	+	-	intron	intron	inversion/3'-3'	medium	HCC-95	Arriba
DGUOK::ATP6V1B1__2:73949698-2:70954542	DGUOK::ATP6V1B1	2:73949698-2:70954542	+	-	intron	intron	inversion/3'-3'	medium	HCC-95	Arriba
LDLRAD3::TEKT4P2__11:35944144-21:9127547	LDLRAD3::TEKT4P2	11:35944144-21:9127547	+	-	CDS/splice-site	exon/splice-site	translocation	medium	HCC-95	Arriba
AC134878.2::AC119751.3(8950),ANKRD20A17P(3641)__Y:11212744-4:49498504	AC134878.2::AC119751.3(8950),ANKRD20A17P(3641)	Y:11212744-4:49498504	-	+	exon/splice-site	intergenic	translocation	medium	HCC-95	Arriba
IQGAP1::GOLGA2P8(18615),GABARAPL3(33289)__15:90390873-15:90314298	IQGAP1::GOLGA2P8(18615),GABARAPL3(33289)	15:90390873-15:90314298	+	+	CDS/splice-site	intergenic	duplication	medium	HCC-95	Arriba
CAV1::EEF1A1__7:116560006-6:73519518	CAV1::EEF1A1	7:116560006-6:73519518	-	-	3'UTR	exon/splice-site	translocation/3'-3'	medium	HCC-95	Arriba
VAX2::DGUOK-AS1__2:70954542-2:73949698	VAX2::DGUOK-AS1	2:70954542-2:73949698	+	-	intron	intron	inversion	medium	HCC-95	Arriba
ATP6V1B1::DGUOK-AS1__2:70954542-2:73949698	ATP6V1B1::DGUOK-AS1	2:70954542-2:73949698	+	-	intron	intron	inversion	medium	HCC-95	Arriba
PFAS::PA2G4P2(277896),LINC01722(206051)__17:8249339-20:12659151	PFAS::PA2G4P2(277896),LINC01722(206051)	17:8249339-20:12659151	+	-	5'UTR/splice-site	intergenic	translocation	medium	HCC-95	Arriba
FUT1::DNAAF3__19:48748042-19:55160050	FUT1::DNAAF3	19:48748042-19:55160050	-	-	3'UTR	intron	duplication	medium	HCC-95	Arriba
ABTB2::AL390763.1(463756),LINC02667(128840)__11:34170906-10:128783970	ABTB2::AL390763.1(463756),LINC02667(128840)	11:34170906-10:128783970	-	-	CDS/splice-site	intergenic	translocation	medium	HCC-95	Arriba
FAT1::MRPS36P2(53047),AC110772.1(25605)__4:186706563-4:186953885	FAT1::MRPS36P2(53047),AC110772.1(25605)	4:186706563-4:186953885	-	-	CDS/splice-site	intergenic	duplication	medium	HCC-95	Arriba
CD44::PDHX__11:35190065-11:34931404	CD44::PDHX	11:35190065-11:34931404	+	+	CDS/splice-site	CDS/splice-site	duplication	medium	HCC-95	Arriba
CD44::PDHX__11:35190065-11:34978124	CD44::PDHX	11:35190065-11:34978124	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
CD44::PDHX__11:35139370-11:34947506	CD44::PDHX	11:35139370-11:34947506	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
CD44::PDHX__11:35139370-11:34992315	CD44::PDHX	11:35139370-11:34992315	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
BOLA3::AC007403.1__2:74142272-2:67040933	BOLA3::AC007403.1	2:74142272-2:67040933	-	+	CDS/splice-site	exon	inversion	medium	HCC-95	Arriba
AL118505.1::AL118505.1(1363),FERMT1(5585)__20:6067726-20:6069260	AL118505.1::AL118505.1(1363),FERMT1(5585)	20:6067726-20:6069260	-	-	exon	intergenic	duplication	medium	HCC-95	Arriba
PFAS::PA2G4P2(368985),LINC01722(114962)__17:8249339-20:12750240	PFAS::PA2G4P2(368985),LINC01722(114962)	17:8249339-20:12750240	+	+	5'UTR/splice-site	intergenic	translocation	medium	HCC-95	Arriba
MSANTD3::PPIAP88__9:100442356-9:107543713	MSANTD3::PPIAP88	9:100442356-9:107543713	+	-	CDS/splice-site	intergenic	inversion	medium	HCC-95	Arriba
FUT1::AC010327.4__19:48748041-19:55160049	FUT1::AC010327.4	19:48748041-19:55160049	-	-	3'UTR	intron	duplication/5'-5'	medium	HCC-95	Arriba
LDLRAD3::AC061997.1(7129),RPL7AP56(16317)__11:36098461-11:37709349	LDLRAD3::AC061997.1(7129),RPL7AP56(16317)	11:36098461-11:37709349	+	+	CDS/splice-site	intergenic	deletion	medium	HCC-95	Arriba
LRP8::SLC25A3P1(292),AL365445.1(956)__1:53271028-1:53440312	LRP8::SLC25A3P1(292),AL365445.1(956)	1:53271028-1:53440312	-	-	CDS/splice-site	intergenic	duplication	medium	HCC-95	Arriba
STAG1::AC096992.1__3:136752195-3:136809034	STAG1::AC096992.1	3:136752195-3:136809034	-	-	5'UTR/splice-site	exon	duplication	medium	HCC-95	Arriba
AC024382.1::SFMBT2__8:126805386-10:7227937	AC024382.1::SFMBT2	8:126805386-10:7227937	+	-	intron	CDS/splice-site	translocation/3'-3'	medium	HCC-95	Arriba
PCAT1::SFMBT2__8:126805386-10:7227937	PCAT1::SFMBT2	8:126805386-10:7227937	+	-	intron	CDS/splice-site	translocation	medium	HCC-95	Arriba
TMEM219::AC009093.9__16:29971578-16:29090740	TMEM219::AC009093.9	16:29971578-16:29090740	+	+	3'UTR/splice-site	exon/splice-site	duplication	medium	HCC-95	Arriba
CTNNA1::SIL1__5:138827718-5:139263214	CTNNA1::SIL1	5:138827718-5:139263214	+	+	CDS/splice-site	intron	deletion/5'-5'	medium	HCC-95	Arriba
AC134878.2::AC138776.1__Y:11212744-22:11846349	AC134878.2::AC138776.1	Y:11212744-22:11846349	-	-	exon/splice-site	intron	translocation/5'-5'	medium	HCC-95	Arriba
AC134878.2::SPATA31C1(10487),AL353572.2(10284)__Y:11212744-9:87933992	AC134878.2::SPATA31C1(10487),AL353572.2(10284)	Y:11212744-9:87933992	-	+	exon/splice-site	intergenic	translocation	medium	HCC-95	Arriba
CNTN5::LINC00603__11:100285745-5:40041234	CNTN5::LINC00603	11:100285745-5:40041234	-	+	intron	intron	translocation/3'-3'	medium	HCC-95	Arriba
TBC1D32::IRF1__6:121162970-5:132508839	TBC1D32::IRF1	6:121162970-5:132508839	-	-	exon/splice-site	intergenic	translocation	medium	HCC-95	Arriba
LINC01873::RTKN__2:66364344-2:74430518	LINC01873::RTKN	2:66364344-2:74430518	-	-	intergenic	CDS/splice-site	duplication/3'-3'	medium	HCC-95	Arriba
AC064872.1(46873),AC092660.1(112117)::AC012494.1__2:78485794-2:77875062	AC064872.1(46873),AC092660.1(112117)::AC012494.1	2:78485794-2:77875062	-	-	intergenic	exon/splice-site	deletion	medium	HCC-95	Arriba
AL512590.2::CCDC180__9:97294991-9:97307736	AL512590.2::CCDC180	9:97294991-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
AL512590.2::CCDC180__9:97290902-9:97307736	AL512590.2::CCDC180	9:97290902-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
AL512590.2::CCDC180__9:97291487-9:97307736	AL512590.2::CCDC180	9:97291487-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
AL512590.2::CCDC180__9:97290665-9:97307736	AL512590.2::CCDC180	9:97290665-9:97307736	+	+	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
SH3RF3::SH3RF3__2:109347949-2:109347674	SH3RF3::SH3RF3	2:109347949-2:109347674	+	+	CDS/splice-site	CDS/splice-site	duplication/non-canonical_splicing	low	HCC-95	Arriba
MAML3::AC108053.1__4:139889357-4:139768890	MAML3::AC108053.1	4:139889357-4:139768890	-	+	CDS/splice-site	exon/splice-site	inversion	low	HCC-95	Arriba
AC139792.3(23718),AC139792.1(10018)::C1QTNF3__5:34148103-5:34035758	AC139792.3(23718),AC139792.1(10018)::C1QTNF3	5:34148103-5:34035758	-	-	intergenic	CDS/splice-site	deletion/read-through	low	HCC-95	Arriba
LHFPL1::HMGB3P30(25785),AMOT(58198)__X:112671842-X:112716305	LHFPL1::HMGB3P30(25785),AMOT(58198)	X:112671842-X:112716305	.	.	intron	intergenic	deletion/read-through	low	HCC-95	Arriba
LINC02457::MAP1LC3B2__12:116518318-12:116548105	LINC02457::MAP1LC3B2	12:116518318-12:116548105	+	+	exon	exon	deletion/read-through	low	HCC-95	Arriba
